App,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
Canva,1,1,1,1,1,1,1,1,1,2
Picsart,2,2,2,2,2,2,2,2,2,1
Pic Collage,0,0,0,0,0,0,0,0,0,3
Fotor,3,3,3,3,3,3,3,3,3,4
PicCollage,4,4,4,4,4,4,4,4,4,0
PhotoGrid,5,5,5,5,5,5,5,5,5,5
PicJointer,6,8,6,6,6,6,6,6,6,11
Moldiv,0,0,0,0,0,0,0,0,0,7
Mixgram,7,7,7,7,7,7,7,7,7,10
PicPlayPost,9,6,8,8,8,8,8,8,8,6
MOLDIV,10,9,9,9,9,9,9,11,9,0
piZap,11,11,11,11,11,10,11,10,11,8
Pic Stitch,14,10,10,10,10,12,10,12,10,17
LiveCollage,8,0,0,0,0,0,0,14,0,14
BeFunky,12,12,12,12,12,11,12,9,12,12
Meitu,0,0,0,14,0,0,0,0,16,13
Pixlr,13,13,13,18,13,16,13,17,13,19
Layout from Instagram,15,15,15,15,15,13,15,15,15,15
YouCam Perfect,16,17,17,13,17,14,17,13,18,16
Adobe Photoshop Express,0,14,14,19,14,17,14,18,14,20
Diptic,18,16,16,20,16,18,16,16,20,9
Phototastic Collage Maker,17,18,18,16,19,15,18,19,19,18
Collage Maker - LiveCollage,0,0,0,0,18,0,0,0,0,0
Collageable,19,19,19,17,0,19,19,20,0,0
Snapseed,20,20,20,0,20,20,0,0,17,0
Photo Editor - Collage Maker,0,0,0,0,0,0,20,0,0,0
