App,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
Amazon,1,1,0,1,1,1,1,1,1,1
Amazon Shopping,0,0,1,0,0,0,0,0,0,0
eBay,2,2,2,2,2,2,2,2,2,2
AliExpress,3,3,3,3,3,3,3,3,3,3
Wish,4,4,4,4,4,4,4,4,4,4
ASOS,7,5,5,5,5,5,5,5,7,5
Zara,6,6,6,6,6,6,6,6,6,6
H&M,8,7,7,7,7,7,7,7,8,7
Etsy,5,8,9,9,8,8,8,8,5,8
Shein,9,10,8,8,0,0,10,0,0,0
Zalando,10,9,10,0,0,9,9,0,0,9
Nike,0,11,0,11,10,10,0,10,9,10
Zappos,0,0,0,10,9,0,0,9,20,0
Myntra,11,0,0,0,0,0,0,0,0,0
Adidas,0,12,0,12,11,11,0,11,10,11
Flipkart,12,0,12,0,0,0,11,0,0,0
Sephora,0,13,0,13,12,12,0,12,11,12
Shopee,13,0,13,0,0,0,13,0,0,0
Uniqlo,0,0,0,0,0,0,0,0,0,13
Lazada,0,0,14,0,0,0,0,0,0,0
Ulta Beauty,0,0,0,14,0,0,0,0,0,0
Walmart,0,14,0,18,14,14,0,13,12,16
Rakuten,14,0,11,0,0,0,12,20,19,0
JD.com,15,0,15,0,0,0,14,0,0,0
IKEA,0,16,0,16,13,13,0,15,14,17
Target,0,15,0,17,15,15,0,14,13,15
Pinduoduo,16,0,16,0,0,0,15,0,0,0
Macy's,0,19,0,20,16,16,0,0,0,14
Wayfair,0,17,0,15,20,20,0,16,15,0
Mercari,18,0,17,0,0,0,16,0,0,0
Zozo,17,0,0,0,0,0,0,0,0,0
OfferUp,0,0,0,0,0,0,17,0,0,0
Overstock,0,0,0,0,0,0,0,19,16,0
Best Buy,0,18,0,19,17,17,0,17,17,19
letgo,0,0,0,0,0,0,18,0,0,0
Home Depot,0,20,0,0,18,18,0,0,0,18
Newegg,0,0,0,0,0,0,0,18,18,20
Depop,19,0,18,0,0,0,19,0,0,0
Lowe's,0,0,0,0,19,19,0,0,0,0
POSHMARK,20,0,19,0,0,0,0,0,0,0
Vinted,0,0,20,0,0,0,20,0,0,0
