App,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
Duolingo,1,1,1,1,1,1,1,1,1,1
Quizlet,2,2,2,2,2,2,2,2,2,2
Photomath,3,3,3,3,3,3,3,3,3,3
Socratic by Google,4,4,4,4,4,4,4,4,4,4
Kahoot!,5,5,0,5,5,5,5,0,0,5
Brainly,6,6,6,6,6,6,6,6,6,6
Khan Academy,8,0,5,8,8,0,0,5,5,8
Chegg Study,7,7,7,7,7,7,7,7,7,7
MyScript Calculator,0,0,0,0,0,0,0,8,8,0
Coursera,9,8,8,9,9,8,8,0,0,9
WolframAlpha,0,0,0,0,0,0,0,9,9,0
edX,10,9,9,10,0,9,9,0,0,10
Udemy,0,10,10,0,10,10,10,0,0,0
Grammarly,0,0,0,0,0,0,0,10,10,0
