name,description,type,sources
accessibility,App's availability and performance across different platforms and devices.,"Text [*], Text [1]","App Store, App descriptions, App store listings, App stores, Google Play Store, Official app descriptions, accessibility audits, accessibility reports, accessibility reviews, and compatibility tests, compatibility checks, developer documentation, developer specifications, developer websites, expert analyses, expert analysis, expert reviews, tech blogs, user feedback, user reviews"
accessibility features,Availability and effectiveness of accessibility features for users with disabilities.,Text [1],"App descriptions, accessibility reviews, developer notes, user feedback"
active users,Monthly active users (MAU) or daily active users (DAU).,Integer [1],"App Annie, App analytics platforms, Company Reports, Company reports, Sensor Tower, SimilarWeb, Statista, and industry analyses, company reports"
ad-supported content,Availability of ad-supported content.,Boolean [1],"App descriptions, App listings, company websites"
ad-supported free tier,Availability of a free tier supported by ads.,Boolean [1],"App descriptions, official websites"
ai capabilities,"The extent and effectiveness of AI integration in the app, such as predictive analytics, chatbots, and automated financial advice.",Text[*],"App Store descriptions, Expert reviews, Google Play descriptions, Official app websites"
ai features,"Availability and sophistication of AI-powered features such as personalized recommendations, voice assistants, and music discovery tools.","Integer [1], Text [*], Text [1], Text[1]","App descriptions, Official app descriptions, Official app websites, developer websites, official websites, tech blogs, tech reviews, user feedback, user reviews"
ai functionality,Effectiveness and innovation of AI-powered features within the app.,"Text [*], Text [1]","Official app descriptions, Official app websites, and expert analyses, expert reviews, user reviews"
ai integration,Level and effectiveness of AI integration in the app's features.,"Text [1], Text[1]","App Reviews, App descriptions, App feature lists, App features, Company Announcements, Expert reviews, Official app descriptions, Tech Blogs, and developer websites, and expert analyses, and expert analysis, and tech blogs, and technical analyses, and technical analyses from app review websites and tech blogs, and technical analysis, and technical documentation, app descriptions, company announcements, company blogs, developer documentation, developer websites, expert analyses, expert analysis, expert reviews, official app websites, official websites, reviews, tech blogs, tech reviews, user reviews"
app features,"Unique and innovative features offered by the app, particularly those powered by AI.",Text [*],"App descriptions, developer websites, tech blogs, tech reviews"
community and support,Quality of customer support and community engagement.,Text [1],"Official forums, User reviews, customer support reviews, official app forums, social media"
community and tutorials,Availability of community forums and tutorials for users.,Text [1],"Official app websites, tech blogs, user reviews"
community engagement,Level of user interaction and community features within the app.,Text [1],"User reviews, app descriptions, social media engagement"
compatibility,Number of platforms and devices the app is compatible with.,"Integer [1], Text [*]","App Store, App store listings, Google Play Store, developer documentation, official app websites"
content library size,Size and variety of the content library offered by the app.,Integer [1],"Company Websites, Company websites, Official app websites, Press Releases, industry reports, third-party reviews"
content quality,Quality and relevance of the educational content provided.,Text [1],"Educational reviews, Expert reviews, User reviews, and content library analysis, content libraries, tech blogs, user feedback"
content variety,Diversity and quantity of content available.,"Integer [1], Text [1]","App descriptions, content libraries, user reviews"
cross-platform availability,"Availability of the app across different platforms (iOS, Android, Web, etc.).","Boolean [1], Text [*], Text [1]","App Store, App Stores, App descriptions, Company Websites, Google Play Store, Official app websites, app store listings, app stores, company websites, developer websites, official app websites, official websites"
customer support,Quality and responsiveness of customer support.,Text [1],"User reviews, app store descriptions, customer support forums, customer support ratings, developer websites, official app websites, official support channels, official websites, social media feedback, support forums, tech blogs"
device compatibility,Number of devices and platforms the app is compatible with.,Integer [1],"Official app websites, app stores"
downloads,Total number of downloads across platforms.,Integer [1],"App Annie, App Store, App Store and Google Play Store analytics, App Store and Google Play Store download statistics, Apple App Store, Google Play Store, Sensor Tower, app tracking platforms, etc, other app marketplaces"
downloads and installations,"The total number of app downloads and installations, indicating the app's popularity and reach.",Integer[1],"App Store and Google Play Store download statistics, and third-party app market intelligence platforms"
downloads and popularity,The total number of downloads and the app's ranking in the social networking category.,Integer [1],App Store and Google Play Store statistics
downloads/installs,Total number of downloads or installs across all platforms.,Integer [1],"Apple App Store, Google Play Store, Sensor Tower, and other relevant platforms"
educational content quality,Quality and relevance of the educational content provided by the app.,Text [1],"Educational institutions, Expert reviews, User reviews, content analysis, educational blogs, educational reviews, expert analysis, expert reviews, user feedback"
engagement and retention,User engagement metrics and retention rates.,Float [1],"App analytics platforms, developer reports"
engagement features,Features that enhance user engagement and learning outcomes.,Text [1],"App descriptions, expert reviews"
engagement metrics,Metrics such as daily active users (DAU) and monthly active users (MAU).,Integer [2],"App Annie, Sensor Tower"
feature richness,Variety and depth of features offered by the app.,Text [1],"App descriptions, user reviews"
feature set,Range and usefulness of features offered by the app.,"Text [*], Text [1]","App descriptions, Official app descriptions, Official app websites, and expert analyses, app descriptions on app stores, comparative analyses, comparative reviews, developer websites, expert analyses, expert analysis, expert reviews, official app websites, official websites, tech blogs, user reviews"
