name,description,type,sources
App Performance,"Stability, speed, and resource usage of the app.",Text [1],"User reviews, performance benchmarks, developer blogs"
Community and Support,"Availability of customer support, updates, and community engagement.",Text [1],"Official app websites, social media channels, user forums"
Cross-Platform Availability,"Availability of the app on different platforms (iOS, Android, Web, etc.).",Text [*],"Official app websites, App Store listings"
Cross-Platform Availability,"Availability of the app on multiple platforms such as iOS, Android, and web.",Boolean [1],"Google Play Store, Apple App Store, Official Websites"
Cross-Platform Availability,"Availability of the app on multiple platforms (iOS, Android, Web, etc.).",Text [*],"Official app websites, App store listings"
Cross-Platform Availability,"Availability of the app on different platforms (iOS, Android, Web, etc.).",Text [*],"Official app websites, App Store listings"
Ease of Use,Simplicity and intuitiveness of the app's interface and tools based on user feedback.,Text [1],"User Reviews, Expert Analysis"
Ease of Use,User-friendliness and intuitiveness of the app interface.,Text [*],"User reviews, Expert reviews, App store descriptions"
Ease of Use,The user-friendliness and intuitiveness of the app interface.,Text [1],"User reviews, app tutorials, expert reviews"
Feature Set,"Availability of key features such as templates, stickers, text addition, and sharing options.",Text [*],"Official app websites, App store descriptions, Expert reviews"
Feature Set,"Availability of key features such as templates, stickers, text options, and sharing capabilities.",Text [*],"Official app websites, App Store descriptions, tech reviews"
Feature Set,"Range and quality of features offered, such as templates, editing tools, and sharing options.",Text [1],"Official app websites, App Store descriptions, Expert Reviews"
Feature Set,"Range and quality of features offered by the app, such as templates, editing tools, and sharing options.",Text [1],"App Store Descriptions, Expert Reviews, User Feedback"
Feature Set,The range and quality of features offered by the app for creating photo collages.,Text [1],"Official app websites, App store descriptions, Expert reviews"
Feature Set,"Range and functionality of features offered (e.g., templates, editing tools, sharing options).",Text [1],"Official app descriptions, user reviews, expert reviews"
Feature Set,"Availability of key features such as templates, filters, text addition, and sharing options.",Text [*],"Official app websites, App Store descriptions"
Feature Set,"Availability of key features such as templates, filters, stickers, and text options.",Text [*],"Official app websites, App store descriptions, Expert reviews"
Feature Set,The variety and depth of features offered for creating photo collages.,Text [1],"App descriptions, user reviews, official app websites"
Feature Set,"Variety and quality of features offered, such as templates, editing tools, and sharing options.",Text [*],"Official app websites, App Store descriptions, TechRadar, CNET"
In-App Purchases,Availability and cost of in-app purchases for additional features or content.,Boolean [1],"Google Play Store, Apple App Store, official app descriptions"
In-App Purchases,Availability and necessity of in-app purchases for full functionality.,Boolean [1],"Google Play Store, Apple App Store, User reviews"
Number of Downloads,Total number of times the app has been downloaded.,Integer [1],"Google Play Store, Apple App Store, Amazon Appstore"
Number of Downloads,Total number of downloads or installs from app stores.,Integer [1],"Google Play Store, Apple App Store, Amazon Appstore, Sensor Tower, App Annie"
Number of Downloads,Total number of times the app has been downloaded from major app stores.,Integer [1],"Google Play Store, Apple App Store, App Annie"
Number of Downloads,Total number of times the app has been downloaded from major app stores.,Integer [1],"Google Play Store, Apple App Store, Sensor Tower"
Number of Downloads,The total number of times the app has been downloaded.,Integer [1],"Google Play Store, Apple App Store, Amazon Appstore"
Number of Downloads,Total number of downloads or installs from app stores.,Integer [1],"Google Play Store, Apple App Store, Amazon Appstore, Sensor Tower, App Annie"
Number of Downloads,Total number of times the app has been downloaded.,Integer [1],"Google Play Store, Apple App Store, Sensor Tower"
Number of Downloads,Total number of downloads of the app.,Integer [1],"Google Play Store, Apple App Store, Amazon Appstore, Sensor Tower"
Number of Downloads,The total number of times the app has been downloaded.,Integer [1],"App Store, Google Play Store, Sensor Tower"
Number of Downloads,Total number of times the app has been downloaded.,Integer [1],"Google Play Store, Apple App Store, Amazon Appstore, Sensor Tower"
Regular Updates,"Frequency and quality of app updates, including bug fixes and new features.",Boolean [1],"App Store Update History, Developer Announcements"
Update Frequency,"How often the app is updated with new features, bug fixes, and improvements.",Text [1],"Google Play Store, Apple App Store, Official app websites"
Update Frequency,"How often the app is updated with new features, bug fixes, and improvements.",Text [*],"App Store update history, official app blogs"
Update Frequency,"How often the app is updated with new features, bug fixes, and improvements.",Text [1],"Google Play Store, Apple App Store, App Annie"
Update Frequency,"How often the app is updated with new features, bug fixes, and improvements.",Text [1],"Google Play Store, Apple App Store, Amazon Appstore"
Update Frequency,"How often the app is updated with new features, bug fixes, and improvements.",Text [1],"Google Play Store, Apple App Store"
Update Frequency,How often the app is updated with new features and bug fixes.,Text [*],"Google Play Store, Apple App Store, Official app blogs"
Update Frequency,"How often the app is updated with new features, bug fixes, and improvements.",Text [1],"App Store, Google Play Store, official app blogs"
Update Frequency,"How often the app is updated with new features, bug fixes, and improvements.",Text [*],"App Store update history, Official app blogs"
User Interface,Ease of use and intuitiveness of the app's interface.,Text [1],"User reviews, Expert reviews, App store descriptions"
User Interface,Ease of use and intuitiveness of the app's interface.,Text [1],"User reviews, Expert reviews, App Store descriptions"
User Interface,The ease of use and intuitiveness of the app's interface.,Text [1],"Expert reviews, User reviews, App store descriptions"
User Interface,Ease of use and intuitiveness of the app's interface.,Text [*],"User reviews, Expert reviews from tech blogs"
User Interface,Ease of use and intuitiveness of the app's interface.,Text [*],"User reviews, Expert reviews from tech blogs, YouTube tutorials"
User Interface and Experience,"Ease of use, intuitiveness, and overall user experience based on reviews and expert opinions.",Text [*],"Tech blogs, YouTube reviews, user reviews on app stores"
User Interface Design,Quality and usability of the app's user interface based on reviews and expert opinions.,Text [1],"TechRadar, CNET, User Reviews"
User Interface Design,Quality and user-friendliness of the app's interface design.,Text [1],"Expert reviews, user reviews, design awards"
User Ratings,Average rating given by users on various app stores.,Float [1],"Google Play Store, Apple App Store, Amazon Appstore"
User Ratings,"Average user ratings on app stores (e.g., Google Play, Apple App Store).",Float [1],"Google Play Store, Apple App Store, Amazon Appstore"
User Ratings,"Average rating of the app on major app stores (Google Play, Apple App Store).",Float [1],"Google Play Store, Apple App Store"
User Ratings,Average rating of the app given by users on platforms such as Google Play Store and Apple App Store.,Float [1],"Google Play Store, Apple App Store, AppAnnie"
User Ratings,The average rating given by users on app stores.,Float [1],"Google Play Store, Apple App Store, Amazon Appstore"
User Ratings,"Average user ratings on app stores (e.g., Google Play, Apple App Store).",Float [1],"Google Play Store, Apple App Store, Amazon Appstore"
