App,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
Mee,0,1,0,0,0,0,0,0,0,0
App A,0,0,0,0,0,0,0,0,1,0
Sprout Social,1,5,1,1,19,1,0,2,0,1
App B,0,0,0,0,0,0,0,0,2,0
Hootsuite,2,2,2,2,4,7,7,1,0,2
Buffer,5,3,3,3,5,2,2,3,0,3
App C,0,0,0,0,0,0,0,0,3,0
FeedHive,6,0,5,4,10,0,1,4,0,4
ChatGPT,0,0,19,0,1,15,9,0,0,0
App D,0,0,0,0,0,0,0,0,4,0
Flick,4,6,6,5,6,3,3,7,0,5
Agorapulse,0,0,0,0,0,0,0,5,0,0
App E,0,0,0,0,0,0,0,0,5,0
App F,0,0,0,0,0,0,0,0,6,0
Predis.ai,9,7,7,6,7,4,4,8,0,6
Canva AI,0,0,15,0,2,16,10,17,0,0
Meltwater,3,0,0,0,20,0,19,0,0,0
Publer,7,0,8,7,11,5,5,9,0,7
SocialPilot,17,4,4,0,14,0,0,0,0,11
App G,0,0,0,0,0,0,0,0,7,0
Audiense,0,8,0,0,0,0,0,0,0,0
App H,0,0,0,0,0,0,0,0,8,0
ContentStudio,8,9,9,8,12,6,6,10,0,8
Jasper AI,0,0,20,0,3,17,11,18,0,0
StoryChief,10,0,10,9,0,8,8,0,0,9
Vista Social,0,0,0,0,9,0,0,0,0,0
SocialBee,0,0,0,0,18,0,0,6,0,0
Kapwing,0,0,0,0,0,9,0,0,0,0
App I,0,0,0,0,0,0,0,0,9,0
ExtendImage,0,0,0,0,0,10,0,0,0,0
App J,0,0,0,0,0,0,0,0,10,0
Planable,0,0,0,0,0,0,0,0,0,10
Brandwatch,11,0,0,10,0,11,0,0,0,12
Social Bee CoPilot,0,0,11,0,0,0,0,0,0,0
n8n workflow,0,0,0,0,0,0,0,11,0,0
App K,0,0,0,0,0,0,0,0,11,0
Dash Social (formerly Dash Hudson),12,0,0,11,0,12,0,0,0,0
Writesonic,0,11,13,0,0,0,0,0,0,0
AdCreative.ai,0,12,12,0,0,0,0,0,0,0
Supermeme.ai,0,0,0,0,0,0,12,0,0,0
App L,0,0,0,0,0,0,0,0,12,0
Brand24,13,0,0,12,0,13,0,12,0,0
Copy.ai,14,10,14,0,0,0,0,13,0,0
Social Bee,0,13,0,0,0,0,0,0,0,0
App M,0,0,0,0,0,0,0,0,13,0
Dash Social,0,0,0,0,0,0,0,0,0,13
Pictory,0,0,0,0,8,18,13,16,0,20
Ocoya,0,0,0,0,13,0,0,0,0,15
Sprinklr,0,0,0,0,0,0,14,0,0,0
App N,0,0,0,0,0,0,0,0,14,0
VistaCreate,0,15,0,0,0,0,0,0,0,0
Cosmic: Insightful Dating App,0,0,0,15,0,0,0,0,0,0
Emplifi,0,0,0,0,15,0,0,0,0,0
App O,0,0,0,0,0,0,0,0,15,0
StoryLab.ai,0,18,0,13,0,0,0,15,0,0
VistaSocial,16,20,0,0,0,14,0,14,0,14
Canva,0,14,0,0,0,0,0,0,0,17
Chatfuel,0,0,0,0,0,0,15,0,0,16
Vista Create,0,0,16,0,0,0,0,0,0,0
Nomi: AI Companion with a Soul,0,0,0,16,0,0,0,0,0,0
App P,0,0,0,0,0,0,0,0,16,0
InVideo AI,0,16,17,0,16,0,0,0,0,0
SocialAI,20,0,0,14,0,0,0,0,0,0
SocialBu,15,19,0,0,0,0,0,0,0,0
Hume: Your Personal AI,0,0,0,17,0,0,0,0,0,0
Shutterstock AI,0,0,0,0,17,0,0,0,0,0
App Q,0,0,0,0,0,0,0,0,17,0
Loom AI,0,17,18,0,0,0,0,0,0,0
Lumen5,0,0,0,0,0,19,16,0,0,18
VSCO,0,0,0,0,0,0,17,0,0,19
Socialbee,18,0,0,0,0,0,0,0,0,0
Yano AI- Bring my Favs to Life,0,0,0,18,0,0,0,0,0,0
Mentionlytics,0,0,0,0,0,0,18,0,0,0
App R,0,0,0,0,0,0,0,0,18,0
Rival IQ,19,0,0,0,0,0,0,0,0,0
Lovable,0,0,0,19,0,0,0,0,0,0
Meta AI,0,0,0,0,0,0,0,19,0,0
App S,0,0,0,0,0,0,0,0,19,0
Builder.ai,0,0,0,20,0,0,0,0,0,0
Mee (SocialAI),0,0,0,0,0,20,0,0,0,0
Mandala AI,0,0,0,0,0,0,20,0,0,0
Loomly,0,0,0,0,0,0,0,20,0,0
App T,0,0,0,0,0,0,0,0,20,0
