App,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
PicCollage,1,1,1,1,1,1,1,1,1,1
Layout from Instagram,2,2,2,2,2,2,2,2,2,2
Moldiv,3,3,3,11,7,3,5,3,7,3
Canva,5,5,5,3,3,5,4,5,3,6
PhotoGrid,4,4,4,9,6,4,3,4,6,7
PicsArt,6,6,7,5,5,6,6,6,4,4
Fotor,0,0,12,6,4,0,0,0,5,10
Adobe Spark,11,0,0,4,0,0,0,0,0,8
FotoJet,7,7,6,0,0,7,7,7,12,5
Ribbet,8,8,8,7,9,8,8,8,10,11
Adobe Express,0,0,0,0,0,0,0,0,9,0
Google Photos,0,0,0,0,0,0,0,0,0,9
BeFunky,9,9,9,8,10,9,9,9,13,12
piZap,10,0,0,0,0,0,0,10,0,0
Pizap,0,0,10,0,0,0,0,0,0,0
PiZap,0,10,11,0,8,10,19,0,11,13
Pic Stitch,14,11,18,10,11,11,10,11,8,16
Kizu,0,0,14,0,0,0,12,0,0,0
Photo Blend & Shape,0,0,0,0,13,15,11,0,18,0
Photo Collage Maker,0,0,13,0,0,0,0,0,0,15
Kizuna,0,14,0,0,14,0,0,0,0,0
Kapwing,0,0,0,0,0,0,0,0,0,14
Photo Blend & Collage Maker,13,0,0,0,0,0,0,16,0,0
Photo Blend & Shape Collage Maker,0,12,17,15,0,0,0,0,0,0
Collage Maker,12,13,16,14,12,14,15,15,19,17
Diptic,16,19,19,12,17,12,20,12,14,18
LiveCollage,15,18,0,0,0,0,14,0,0,0
PicJointer,19,20,0,17,0,13,13,14,0,0
PicPlayPost,0,15,15,13,0,16,0,19,15,19
PhotoCollage,0,0,0,0,0,0,16,0,0,0
MOLDIV,0,0,0,0,0,0,0,0,16,0
Fuzel Collage,18,16,0,16,16,17,18,13,0,20
"MOLDIV - Collage, Photo Editor",17,0,0,0,0,0,0,0,0,0
PicFrame,0,0,0,0,0,0,17,0,0,0
PicJoiner,0,0,0,0,15,0,0,0,20,0
Photo Collage Editor,0,17,0,19,0,0,0,0,0,0
Frame Swagg,0,0,0,18,0,0,0,0,0,0
Mixco,0,0,0,0,0,0,0,18,0,0
FrameMagic,20,0,0,0,0,0,0,0,17,0
PhotoFrame,0,0,0,0,19,18,0,0,0,0
Collageable,0,0,0,0,20,19,0,17,0,0
Framatic,0,0,20,0,18,0,0,20,0,0
Kizu — Frame & Photo Collage,0,0,0,20,0,0,0,0,0,0
Kizu — Frame & Collage,0,0,0,0,0,20,0,0,0,0
