App,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
Microsoft Math Solver,1,1,1,1,1,10,0,1,1,1
Photomath,2,2,2,2,2,8,10,2,2,2
Replika,5,5,5,0,0,1,1,5,5,5
CamScanner,3,3,3,3,4,7,0,3,3,3
Socratic by Google,4,4,4,4,3,0,0,4,4,4
Wysa,6,6,6,0,0,2,2,6,6,6
Woebot Health,0,0,0,0,0,4,4,0,0,0
Adobe Scan,0,0,0,5,5,0,0,0,0,0
Moodkit,0,0,0,0,0,5,5,0,0,0
Youper,7,7,7,0,0,3,3,7,7,7
What3Words,0,0,0,0,0,6,6,0,0,0
Office Lens,0,0,0,7,6,0,0,0,0,0
MyScript Calculator,0,10,0,6,7,0,0,0,10,0
Ada Health,8,0,0,0,0,0,0,0,0,8
DataBot,0,8,8,0,0,0,0,8,8,0
PCalc,0,0,0,8,0,0,0,0,0,0
Yahoo Finance,0,0,0,0,8,0,0,0,0,0
Habitica,0,0,0,0,0,0,8,0,0,0
Forest,10,0,0,0,0,0,7,0,0,0
MyStudyLife,9,0,0,0,0,0,0,0,0,9
ELSA Speak,0,9,9,0,0,0,0,9,9,0
WolframAlpha,0,0,0,9,0,0,0,0,0,0
"Mint: Budget, Bills, Finance",0,0,0,0,9,0,0,0,0,0
Socratic,0,0,0,0,0,9,9,0,0,0
AnkiDroid Flashcards,0,0,10,0,0,0,0,0,0,0
Desmos Graphing Calculator,0,0,0,10,0,0,0,0,0,0
Prisma Photo Editor,0,0,0,0,10,0,0,0,0,0
Remini,0,0,0,0,0,0,0,10,0,0
SoloLearn,0,0,0,0,0,0,0,0,0,10
