App,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
PicCollage,0,0,0,0,0,0,0,1,0,1
Pic Collage,1,1,1,5,1,1,1,0,1,0
PhotoGrid,2,2,4,1,0,4,18,2,3,2
PicsArt Photo & Video Editor,0,3,0,2,0,0,0,0,0,0
PicsArt Photo & Collage Maker,0,0,2,0,5,2,0,4,0,0
Collage Maker - LiveCollage,0,0,0,0,0,0,0,3,0,3
Adobe Express (formerly Adobe Spark),4,0,0,0,0,0,0,0,0,0
MOLDIV,0,0,0,0,0,0,0,0,0,4
Moldiv,7,5,3,8,3,5,3,5,6,0
FotoCollage Photo Editor,0,0,6,0,16,3,19,0,2,0
PicsArt,5,0,0,0,0,0,5,0,4,0
Diptic,6,7,8,9,2,6,2,7,7,16
Collage Maker - Photo Editor (Google Play),0,0,5,0,0,0,0,0,0,0
PicsArt Photo Editor & Collage,0,0,0,0,0,0,0,0,0,5
Canva,3,4,20,3,0,19,8,9,19,7
PicPlayPost,18,0,9,0,4,0,4,0,0,11
Pic Stitch,0,9,0,6,0,0,0,0,0,0
Collage Maker - Photo Editor,0,0,0,0,0,8,0,0,0,0
SCRL,0,0,0,0,0,0,0,8,0,0
PhotoDirector,0,0,0,0,0,0,0,12,0,6
PicPlayPost ,0,0,0,0,0,0,0,0,8,0
piZap Photo Editor & Design,0,0,0,0,0,0,0,0,0,8
Fotor,9,8,0,4,0,0,12,0,20,0
PiZap,8,11,7,19,6,7,6,13,9,0
Photo Collage Maker & Creator,0,0,0,0,0,0,0,0,0,9
Layout from Instagram,0,6,0,7,9,0,0,15,0,20
Collage Maker | Photo Editor,0,0,0,0,15,0,20,0,5,0
Photo & Shape Collage Maker,0,10,0,10,0,0,0,0,0,0
Collageable,0,0,0,0,0,0,0,0,0,10
GridMatic,0,0,13,0,8,10,0,0,12,0
PicMerger,19,0,12,0,7,9,0,0,11,0
Luminar Collage,0,0,0,11,0,0,0,0,0,0
InCollage,13,16,0,16,0,0,13,6,0,0
Adobe Express,0,13,0,13,0,0,9,0,0,0
Layout for Instagram,20,0,10,0,0,11,0,0,10,0
Icecream Photo Editor,16,12,0,12,0,0,7,20,0,0
Bazaart,0,0,11,0,11,13,0,0,13,0
Fotor Collage Maker,0,0,0,0,0,0,0,10,0,15
Landing (Zeen),0,0,0,0,12,0,0,0,0,0
Mixgram,0,0,0,0,0,0,0,0,0,12
Snapchat,0,0,15,0,10,12,0,0,15,0
Ribbet,0,0,0,0,0,17,0,11,0,13
Pinterest,0,0,14,0,13,14,0,0,14,0
Fotojet,10,17,0,17,0,0,14,0,0,0
Shape Collage,14,15,0,15,0,0,11,16,0,0
Adobe Spark,0,0,0,0,0,0,0,14,0,0
InCollage - Collage Maker,0,0,0,0,0,0,0,0,0,14
Google Photos,17,14,0,14,0,20,10,19,0,0
Shuffles,0,0,0,0,0,15,0,0,0,0
PhotoPad,11,18,0,18,0,0,15,17,0,0
Pixlr,12,19,0,0,0,0,16,18,0,0
Landing/Zeen,0,0,16,0,0,0,0,0,0,0
Fotor Photo Collage Maker,0,0,0,0,0,16,0,0,0,0
landing,0,0,0,0,0,0,0,0,16,0
Shuffles_,0,0,17,0,14,0,0,0,18,0
Photo Collage Maker - Mixgram,0,0,0,0,17,0,0,0,0,0
Zeen,0,0,0,0,0,0,0,0,17,0
Phototastic Collage Maker,0,0,0,0,0,0,0,0,0,17
Z Mobile: Photo Collage Maker,15,20,0,20,0,0,17,0,0,0
Collage Maker | Photo Editor (Google Play),0,0,18,0,0,0,0,0,0,0
Photo Collage Maker PicJointer,0,0,0,0,18,0,0,0,0,0
BeFunky Collage Maker,0,0,0,0,0,18,0,0,0,0
YouCam Perfect,0,0,0,0,0,0,0,0,0,18
Fotor Photo Editor,0,0,19,0,0,0,0,0,0,0
Picture Collage Maker - Frames,0,0,0,0,19,0,0,0,0,0
Adobe Photoshop Express,0,0,0,0,0,0,0,0,0,19
Photo Collage - Collageable,0,0,0,0,20,0,0,0,0,0
