App,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
Acloset â€“ AI Fashion Assistant,1,0,0,0,0,0,0,0,0,0
Shop.app,18,1,2,0,1,1,1,1,1,1
Shein,0,0,0,1,0,17,0,0,0,0
Nike,0,0,0,2,0,0,0,0,0,0
Amazon,0,0,0,0,2,0,0,0,0,0
Buysmart.ai,19,2,3,19,5,2,2,2,2,2
Amazon Shopping,0,0,0,3,0,0,0,0,0,0
shopdev Shopping Assistant,2,17,1,0,0,11,6,6,0,0
Claros,0,3,4,0,17,3,3,3,3,3
Rufus (Amazon's AI shopping assistant),3,0,0,0,0,5,0,0,0,0
AliExpress,0,0,0,4,0,0,0,0,0,0
Rufus (Amazon),0,5,0,0,0,0,5,0,5,5
Shopify's AI Chatbot,0,0,0,5,0,0,0,0,0,0
Rufus (Amazon's AI assistant),0,0,0,0,0,0,0,5,0,0
Klarna,0,0,0,15,3,0,0,0,0,0
Shopdev Shopping Assistant,0,0,0,0,4,0,0,0,0,7
ShopGuru,20,4,5,17,18,4,4,4,4,4
Klaviyo AI,6,0,0,0,0,0,0,0,0,0
Rufus,0,0,6,0,0,0,0,0,0,0
Walmart+,0,0,0,6,0,0,0,0,0,0
Google Shopping,0,0,0,0,0,6,0,0,0,0
Manifest AI,0,0,0,0,6,0,0,7,0,6
Lyro AI Chatbot,4,0,0,0,0,18,0,0,0,0
Salesforce Einstein,7,0,0,0,0,0,0,0,0,0
Macy's,0,0,0,0,0,7,0,0,0,0
Shopbox AI,0,6,7,0,12,0,9,0,6,0
Nosto,5,0,0,0,0,19,0,0,0,0
Sephora's Virtual Artist,8,0,0,0,0,0,0,0,0,0
Klarna (ChatGPT plugin),0,8,0,0,0,0,0,0,0,0
SHEIN,0,0,0,0,8,0,0,0,0,0
Amazon Alexa,0,0,0,0,0,8,0,0,0,0
Shopping Bot,0,0,0,0,0,0,0,8,0,0
Klarna (ChatGPT Plugin),0,0,0,0,0,0,0,0,8,0
GrapheneAI,0,7,8,0,11,0,10,0,7,0
Vetted AI Smart Shopping Agent,0,0,0,8,7,14,0,0,0,0
Neiman Marcus's Snap. Find. Shop.,9,0,0,0,0,0,0,0,0,0
Shop (Shopify),0,9,0,0,0,0,0,0,0,0
Shop (Shopify app),0,0,9,0,0,0,0,0,0,0
Phia,0,0,0,9,0,0,0,0,0,0
H&M,0,0,0,0,9,0,0,0,0,0
Temu,0,0,0,7,0,16,0,0,0,0
Conversica,10,0,0,0,0,0,0,0,0,0
ShopSavvy,0,0,0,10,0,0,0,0,0,0
Rufus (Amazon AI assistant),0,0,0,0,10,0,0,0,0,0
Intercom AI Chatbot,0,0,0,0,0,0,0,10,0,0
MOI (Klevu),0,10,10,0,0,0,12,0,9,0
Lyro AI Agent by Tidio,0,0,0,0,0,0,0,14,0,8
GoFind.ai,11,0,0,0,0,0,0,0,0,0
Zyft,0,0,0,11,0,0,0,0,0,0
Zipchat AI,0,0,0,0,0,0,0,15,0,9
Gorgias,0,11,11,0,16,0,11,0,0,0
ShopAdvisor,12,0,0,0,0,0,0,0,0,0
Infichat,0,19,19,20,14,10,7,11,0,11
Verloop,0,0,0,0,0,0,0,16,0,10
Tidio AI,0,20,20,13,13,9,8,12,12,14
Giosg,0,0,0,0,0,12,0,0,0,13
Shopmate,0,18,18,12,15,0,0,9,10,12
Lyst,13,0,0,0,0,0,0,0,0,0
alby's AI Shopping Assistant,0,0,0,0,0,0,13,0,0,0
Chatfuel,0,0,0,0,0,0,0,13,0,0
Revery,0,0,0,0,0,0,0,0,13,0
AskTimmy.ai,0,12,12,0,0,0,16,17,0,0
Rep AI,0,14,14,0,0,0,0,19,11,0
Bold Brain,14,0,0,0,0,0,0,0,0,0
Google's AI Shopping Solutions,0,0,0,14,0,0,0,0,0,0
Boost AI Search & Filter,0,0,0,0,0,0,14,0,0,0
Fotor,0,0,0,0,0,0,0,0,14,0
Verifast AI,0,13,13,0,0,0,17,18,0,0
LimeSpot,15,0,0,0,0,0,0,0,0,0
SmartBot AI,0,15,15,0,0,0,0,0,0,0
Jolt: AI Blog & Image Creation,0,0,0,0,0,0,15,0,0,0
VirtuLook by Wondershare,0,0,0,0,0,0,0,0,15,0
Caper Cart (Instacart),0,0,0,0,0,0,0,0,0,15
Glance AI,0,0,0,0,19,13,0,0,0,0
Intellisence.io,16,0,0,0,0,0,0,0,0,0
Vanchat AI,0,16,16,0,0,0,0,0,0,0
Honey,0,0,0,16,0,0,0,0,0,0
YourFit by 3DLOOK,0,0,0,0,0,0,0,0,16,0
Flash.co,0,0,0,0,0,15,19,0,0,16
ModeMagic,17,0,0,0,0,0,0,0,0,0
Manifest,0,0,17,0,0,0,0,0,0,0
Styleme,0,0,0,0,0,0,0,0,17,0
Sobot AI Chatbot,0,0,0,0,0,0,0,0,0,17
Sobot Live Chat,0,0,0,18,0,0,0,0,0,0
ZuPick,0,0,0,0,0,0,18,0,0,0
AI Background Remove&Generate,0,0,0,0,0,0,0,0,18,0
Perplexity,0,0,0,0,0,0,0,0,0,18
Pebblely AI,0,0,0,0,0,0,0,0,19,0
Preezie,0,0,0,0,0,0,0,0,0,19
Namshi,0,0,0,0,20,0,0,0,0,0
Octane AI,0,0,0,0,0,20,0,0,0,0
Klicker,0,0,0,0,0,0,20,0,0,0
SmartBot,0,0,0,0,0,0,0,20,0,0
CreatorKit â€‘ AI Image & Video,0,0,0,0,0,0,0,0,20,0
AI Nudge,0,0,0,0,0,0,0,0,0,20
