model,feature,name,description,type,sources
openai,List items for sale,User Base Size,"The number of active users on the platform, indicating potential reach for sellers.",Integer [1],"Platform official statistics, industry reports"
openai,List items for sale,Listing Fees,The cost associated with listing an item for sale on the platform.,Float [1],"Platform pricing pages, user guides"
openai,List items for sale,Transaction Fees,The percentage or fixed fee deducted from the sale price upon a successful transaction.,Float [1],"Platform pricing pages, user guides"
openai,List items for sale,Target Audience,The primary demographic or market segment the platform caters to.,Text [1],"Platform marketing materials, user demographics studies"
openai,List items for sale,Geographical Reach,The regions or countries where the platform operates and has a significant user base.,Text [1],"Platform official information, industry analyses"
openai,List items for sale,Item Categories,The types of products that can be listed and sold on the platform.,Text [*],"Platform category listings, user guides"
openai,List items for sale,Ease of Use,The user-friendliness of the platform's interface and the simplicity of the listing process.,Float [1],"User reviews, usability studies"
openai,List items for sale,Payment Processing,The methods available for processing payments and the associated fees.,Text [*],"Platform payment policies, user guides"
openai,List items for sale,Shipping Options,The shipping services integrated with the platform and any associated costs.,Text [*],"Platform shipping policies, user guides"
openai,List items for sale,Seller Protection Policies,The measures in place to protect sellers from fraud and disputes.,Text [*],"Platform terms of service, user guides"
openai,List items for sale,User Base Size,"The number of active users on the platform, indicating potential reach for sellers.",Integer [1],"Platform official statistics, industry reports"
openai,List items for sale,Listing Fees,The cost associated with listing an item for sale on the platform.,Float [1],"Platform pricing pages, user agreements"
openai,List items for sale,Transaction Fees,The percentage or fixed fee deducted from the sale price upon a successful transaction.,Float [1],"Platform pricing pages, user agreements"
openai,List items for sale,Item Categories Supported,The range of product categories that can be listed for sale.,Text [*],"Platform guidelines, user interfaces"
openai,List items for sale,Geographical Reach,The regions or countries where the platform operates and has a significant user base.,Text [*],"Platform official information, industry analyses"
openai,List items for sale,Ease of Use,The user-friendliness of the platform's interface and the simplicity of the listing process.,Text [1],"User reviews, platform tutorials"
openai,List items for sale,Shipping Support,Availability of integrated shipping options and support for sellers.,Boolean [1],"Platform features pages, user guides"
openai,List items for sale,Payment Processing,The methods available for processing payments from buyers to sellers.,Text [*],"Platform payment policies, user agreements"
openai,List items for sale,Seller Protection Policies,Measures in place to protect sellers from fraud and disputes.,Text [1],"Platform terms of service, help centers"
openai,List items for sale,Mobile App Availability,Availability and functionality of mobile applications for listing and managing sales.,Boolean [1],"Platform official app stores, user reviews"
