name,description,type,sources
Barcode Scanning,Feature to scan product barcodes for instant price comparison.,Boolean [1],"turn0search0,turn0search4"
Barcode Scanning,Feature to scan product barcodes for instant price comparison.,Boolean [1],"turn0search0,turn0search5,turn0search7"
Barcode Scanning,Functionality to scan product barcodes for quick price comparisons.,Boolean [1],"turn0search0,turn0search4,turn0search9"
Barcode Scanning,Feature to scan product barcodes to quickly find and compare prices.,Boolean [1],"turn0search0,turn0search6,turn0search8"
Cashback Offers,Availability and extent of cashback offers provided by the app.,Boolean [1],"Official app websites, User reviews"
Cashback Offers,Provision of cashback rewards on purchases made through the app.,Boolean [1],"turn0search5,turn0search8"
Cashback Offers,Provision of cashback rewards on purchases made through the app.,Boolean [1],"turn0search4,turn0search7,turn0search8"
Cashback Offers,Provision of cashback rewards on purchases made through the app.,Boolean [1],"turn0search5,turn0search8"
Cashback Offers,Provision of cashback rewards on purchases made through the app.,Boolean [1],"turn0search4,turn0search8,turn0search7"
Coupon Availability,Number and variety of coupons available through the app.,Integer [1],"Official app websites, User reviews"
Coupon Availability,Access to valid coupon codes and automatic application during checkout.,Boolean [1],"turn0search3,turn0search4,turn0search8"
Coupon Integration,Availability of coupons and promo codes to apply additional discounts.,Boolean [1],"turn0search1,turn0search5,turn0search8"
Coupon Integration,Availability of coupons and promo codes to apply additional discounts.,Boolean [1],"turn0search3,turn0search4,turn0search7"
Coupon Integration,Availability of coupons and promo codes to apply additional discounts.,Boolean [1],"turn0search2,turn0search5,turn0search6,turn0search8"
Customer Support,Quality and responsiveness of customer support,Text [1],"Official App Website, User Reviews"
Data Privacy,Policies and practices regarding user data privacy,Text [1],"Official App Website, Privacy Policy"
Feature Set,"Range of features offered by the app (e.g., price comparison, coupon integration, cashback)",Text [*],"App descriptions, official websites"
Feature Set,Range and usefulness of features offered by the app.,Text [1],"App Store, Google Play Store, Official App Websites"
Feature Set,Range and usefulness of features offered by the app,Text [1],"App Store, Google Play Store, Official App Websites"
