name,description,type,sources
App Rating,"The average rating of the app on major app stores, reflecting overall user satisfaction.",Float [1],"App Store, Google Play"
Buyer Traffic,The volume of potential buyers visiting the platform.,Integer [1],"SimilarWeb, Alexa rankings, Google Analytics reports"
Customer Support,The availability and responsiveness of customer support for resolving seller issues.,Text[1],"Trustpilot reviews, BBB ratings, User reviews"
Customer Support,The quality and responsiveness of the app's customer support services.,Text[1],"User reviews, Official app websites"
Customer Support,The quality and responsiveness of the app's customer support services.,Text [1],"App Store reviews, Google Play reviews, User reviews"
Customer Support,The quality and responsiveness of the platform's customer support.,Text [1],"User reviews, official support channels, customer service ratings"
Customer Support,The quality and responsiveness of the app's customer support.,Text[1],"User reviews, Official support channels, Tech blogs"
Ease of Use,The simplicity and intuitiveness of the app's interface and listing process.,Text[1],"App Store reviews, Google Play reviews, Expert reviews from tech blogs"
Ease of Use,The user-friendliness of the app interface and listing process.,Text [1],"App Store Reviews, Google Play Store Reviews, Tech Blogs"
Ease of Use,The simplicity and intuitiveness of the app's interface and listing process.,Text[1],"App Store reviews, Google Play reviews, Expert reviews"
Ease of Use,"The simplicity and intuitiveness of the app's interface and listing process, affecting user experience and efficiency.",Text [1],"App Store reviews, Google Play reviews, Expert reviews from tech blogs"
Ease of Use,The simplicity and intuitiveness of the app's interface and listing process.,Text [1],"App Store reviews, Google Play reviews, Expert reviews"
Ease of Use,The simplicity and intuitiveness of the app's interface and navigation.,Text [1],"App Store reviews, Google Play reviews, expert reviews from tech blogs"
Ease of Use,The simplicity and intuitiveness of the app's interface and listing process.,Text [1],"App Store reviews, Google Play reviews, Expert reviews"
Ease of Use,The simplicity and intuitiveness of the app's user interface and listing process.,Text [1],"User Reviews, Expert Reviews, App Store, Google Play"
Ease of Use,The simplicity and intuitiveness of the app's interface and user experience.,Text[1],"App Store reviews, Google Play reviews, Expert reviews from tech blogs"
Ease of Use,The simplicity and intuitiveness of the app's interface and listing process.,Text [1],"App Store reviews, Google Play reviews, Expert reviews"
Fees and Commission,The cost associated with listing and selling items on the platform.,Float[1],"Official app websites, User reports"
Fees and Commission,"The cost associated with listing and selling items, including insertion fees, final value fees, and payment processing fees.",Float [3],"Official fee structures from the app's website, User reports, Expert comparisons"
Fees and Commission,The charges and commissions imposed by the platform on each sale.,Float [1],"Official app websites, User reviews"
Fees and Commission,"The cost associated with listing and selling items, including any transaction fees or commission structures.",Float [1],"Official Website, Terms of Service, User Reviews"
Fees and Commission,The cost associated with listing and selling items on the platform.,Float [1],"Official app websites, Blog comparisons"
Fees and Commissions,The cost associated with listing and selling items on the platform.,Float [1],"Official app websites, Blog reviews"
Fees and Pricing,"The cost associated with listing items, including insertion fees, final value fees, and other related costs.",Float[1],"Official app websites, Blog comparisons, User reviews"
Geographical Availability,The regions and countries where the app is available and widely used.,Text[*],"Official app websites, App Store, Google Play"
Integration with Social Media,The ease with which listings can be shared on social media platforms to increase visibility.,Boolean[1],"Official app websites, App Store descriptions, Google Play descriptions"
Listing Features,"The variety and quality of features available for creating and managing listings, such as photo editing, pricing tools, and promotional options.",Text[1],"App Store descriptions, Google Play descriptions, Expert reviews"
Listing Features,"The availability of features such as image uploads, descriptions, pricing options, and promotional tools.",Text[*],"Official app websites, User reviews"
Listing Features,The variety and quality of features available for creating and managing listings.,Text [1],"Official app websites, Expert reviews"
Listing Features,The variety and quality of features available for creating and managing listings.,Text [1],"Official app descriptions, user reviews, tech blog evaluations"
Listing Features,The variety and quality of features available for creating and managing listings.,Text [1],"App Store descriptions, Google Play descriptions, Expert analyses"
Listing Features,"The variety and effectiveness of features available for creating and managing listings, such as photo uploads, descriptions, and pricing tools.",Text [1],"Official Website, User Reviews, App Store, Google Play"
