App,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
Spotify,1,1,1,1,1,1,1,1,1,1
Apple Music,2,2,2,2,2,2,2,2,2,2
Amazon Music,3,3,3,3,3,3,3,3,3,3
Pandora,4,4,4,5,4,4,4,4,4,4
Deezer,5,5,5,4,5,5,5,5,5,5
iHeartRadio,6,6,6,6,6,6,6,6,6,6
YouTube Music,7,7,7,7,7,7,7,7,7,7
Tidal,8,8,8,8,8,8,8,8,8,8
SoundCloud,9,9,9,9,9,9,9,9,9,9
Napster,10,10,10,10,10,10,10,10,10,10
Qobuz,11,11,11,11,11,11,11,11,11,11
Audiomack,12,12,12,12,12,12,12,12,12,12
Gaana,13,13,13,14,14,14,13,13,14,13
JioSaavn,14,14,14,13,13,13,14,14,13,14
Wynk Music,15,15,15,15,15,15,15,15,15,15
Hungama Music,16,16,0,16,16,16,0,16,16,16
Boomplay,17,17,17,17,17,17,17,17,17,17
Anghami,18,18,16,18,18,18,16,18,18,18
Trebel,19,19,18,19,19,0,18,19,19,19
Yandex Music,0,0,0,0,0,19,0,0,0,0
Spinrilla,0,0,0,0,0,0,19,0,0,0
Freecords,0,0,19,0,0,0,20,0,0,20
VK Music,0,0,0,0,0,20,0,0,0,0
Smart Shuffle,20,20,20,20,20,0,0,20,20,0
