App,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
Adidas Running by Runtastic,0,0,9,0,0,0,0,0,0,0
Endomondo,5,4,5,5,4,4,4,4,4,4
Fitbit,9,0,0,10,10,0,0,10,10,0
Google Fit,7,9,8,8,8,9,9,8,8,9
MapMyRun,3,3,3,3,3,3,3,3,3,3
MyFitnessPal,8,10,0,9,0,10,10,0,9,10
Nike Run Club,2,2,2,2,2,2,2,2,2,2
Pacer Pedometer & Step Tracker,10,7,7,7,7,7,7,7,7,7
Runkeeper,4,6,4,4,6,6,6,6,6,6
Runtastic,6,5,6,6,5,5,5,5,5,5
Samsung Health,0,0,0,0,9,0,0,9,0,0
Sports Tracker,0,8,0,0,0,0,8,0,0,8
Strava,1,1,1,1,1,1,1,1,1,1
"Zombies, Run!",0,0,10,0,0,8,0,0,0,0
