App,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
Replika,0,18,0,0,0,1,1,1,1,1
Netflix,1,15,0,1,1,0,0,0,0,0
YouCam Makeup,2,1,1,2,2,0,0,0,0,0
Picsart Photo & Video Editor,0,3,0,0,0,0,0,0,0,0
Jukebox AI,0,0,0,0,0,0,0,3,0,0
Prequel,4,5,2,4,3,0,0,0,0,0
AIVA,0,11,0,0,0,2,19,2,2,2
Lumen5,0,0,0,0,0,3,3,7,4,3
Artbreeder,0,0,0,0,0,0,0,4,0,0
Picsart,5,0,3,5,4,0,0,0,0,0
Endel,3,4,4,3,5,17,11,0,3,15
Jukedeck,0,0,0,0,0,4,4,0,19,4
Wombo Dream,9,2,8,19,0,0,0,0,0,0
Artisto,0,0,0,0,0,5,6,0,7,6
Prisma,0,0,0,0,0,6,5,9,6,5
Krikey AI,0,6,0,0,0,0,0,0,0,0
DeepArt,0,0,0,0,0,7,7,5,12,7
Facetune,7,8,6,7,9,0,0,0,0,0
FaceApp,6,7,5,6,8,11,14,10,14,11
Magisto,0,0,0,0,0,9,9,8,8,9
Runway ML,0,20,0,0,0,8,8,6,11,8
Mix,11,0,10,9,7,0,0,0,0,0
Lensa,8,9,7,8,10,0,0,20,0,0
Edits,10,0,9,20,6,0,0,0,0,0
AI Wizard,0,0,0,10,0,0,0,0,0,0
Jukebox,0,0,0,0,0,20,0,0,5,20
Wombo,0,0,0,0,11,10,13,11,13,10
Mubert,0,0,0,0,0,16,10,0,9,14
CandyCall,12,0,11,11,14,0,0,0,0,0
DALL-E 2,0,12,0,0,0,0,0,0,0,0
Earbuds,0,0,0,0,12,0,0,0,0,0
AI Dungeon,0,10,0,0,0,0,17,13,0,0
Ecrett Music,0,0,0,0,0,0,12,16,10,16
Midjourney,0,13,0,0,0,0,0,0,0,0
RAiDiO.FYI,0,0,0,0,13,0,0,0,0,0
Deep Nostalgia,0,0,0,0,0,12,15,12,15,12
Plazmapunk,14,0,12,13,16,0,0,0,0,0
Sudowrite,0,14,0,0,0,0,0,0,0,0
EPIK,0,0,0,0,0,14,0,0,0,0
ChatGPT,0,0,0,0,0,0,0,14,0,0
RappingAI,13,0,19,12,15,0,0,0,0,0
AI Rap Song Generator,15,0,13,14,17,0,0,0,0,0
Avatarify,0,0,0,0,0,13,20,0,0,13
Socratic by Google,0,0,0,0,0,0,0,15,0,0
Wonder AI Art Generator,16,0,14,15,18,0,0,0,0,0
Spotify,0,16,0,0,0,0,0,0,0,0
Akinator,0,0,0,0,0,0,16,0,0,0
Unprompted,17,0,15,16,19,0,0,0,0,0
Voicemod,0,0,0,0,0,15,19,0,0,0
Character.AI,0,17,0,0,0,0,0,0,0,0
MuseNet,0,0,0,0,0,18,0,17,17,18
Amper Music,0,0,0,0,0,0,0,0,18,17
ChatGPT - Word Association Game,18,0,16,17,20,0,0,0,0,0
ChatGPT - Dungeon Master GPT,19,0,17,18,0,0,0,0,0,0
DALLÂ·E 2,0,0,0,0,0,0,0,18,0,0
Dream by Wombo,0,0,0,0,0,0,18,19,0,0
Poly.AI,20,0,18,0,0,0,0,0,0,0
Descript,0,19,0,0,0,0,0,0,0,0
SketchAI,0,0,20,0,0,0,0,0,0,0
Humtap,0,0,0,0,0,0,0,0,20,0
