App,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9
Pocket Casts,1,1,3,3,1,1,3,1,3
Spotify,5,2,1,1,5,4,1,5,1
Overcast,2,4,5,4,2,2,4,2,4
Apple Podcasts,4,3,2,2,4,5,2,6,2
Podcast Addict,3,5,7,5,3,3,5,3,8
Audials Play,6,6,0,0,8,0,7,0,0
Google Podcasts,13,7,4,11,6,6,8,0,0
AntennaPod,9,13,9,6,9,7,10,4,7
Castbox,11,8,19,7,12,0,6,12,5
Castro,7,10,6,14,7,9,11,9,10
Downcast,8,9,10,9,10,8,9,16,9
YouTube Music,0,0,11,8,0,13,0,7,11
Player FM,10,11,8,0,11,0,12,8,0
Stitcher,20,0,0,10,20,0,0,0,6
Podbean,0,0,0,0,0,11,0,0,0
Fountain,0,0,12,18,0,10,0,13,0
Podcast Republic,0,0,0,12,0,12,0,14,13
Amazon Music,0,0,0,13,0,14,0,0,12
Audible,12,14,15,0,13,0,14,10,17
Podcast Player,16,12,0,0,15,0,13,0,0
SiriusXM,14,15,18,0,14,0,15,11,0
Sofa,0,0,0,15,0,0,0,0,0
Procast,0,0,0,0,0,0,0,15,0
Podcast Guru,0,0,13,0,0,15,0,19,0
Podcast App,15,16,0,0,16,0,16,0,0
Luminary,0,0,16,0,0,0,0,0,0
Queue,0,0,0,16,0,0,0,0,0
Google Podcasts (if available in your region),0,0,0,0,0,0,0,0,16
Deezer,0,0,0,19,0,0,0,0,14
Podverse,0,0,14,0,0,16,0,20,0
RSSRadio,17,0,0,0,17,0,0,0,0
Desktop Browser,0,17,0,0,0,0,17,0,0
Neuecast,0,0,0,17,0,0,0,0,0
Luminary Podcasts,0,0,0,0,0,0,0,17,0
SoundCloud,0,0,0,20,0,0,0,0,15
Wondery+,0,0,17,0,0,0,0,18,0
Mobile Browser,0,18,0,0,0,0,18,0,0
PodLP,0,0,0,0,0,18,0,0,0
iHeartRadio,0,0,0,0,0,0,0,0,18
CurioCaster,0,0,20,0,0,17,0,0,0
Breaker,18,0,0,0,18,0,0,0,20
RadioPublic,19,0,0,0,19,0,0,0,0
Steno.fm,0,0,0,0,0,19,0,0,0
TuneIn Radio,0,0,0,0,0,0,0,0,19
Storybutton,0,19,0,0,0,0,20,0,0
Embed Player,0,20,0,0,0,0,19,0,0
TrueFans,0,0,0,0,0,20,0,0,0
