model1,model2,feature,rbo
llama31_8b,gemma3_4b,Access to movies,0.7715204240166557
llama31_8b,gemma3_4b,Access to podcasts,0.4804904616908
llama31_8b,gemma3_4b,Broadcast messages to multiple contacts,0.4906102299175459
llama31_8b,gemma3_4b,Build photo collage,0.010444279043339357
llama31_8b,gemma3_4b,Collaborate with others,0.38048084678069044
llama31_8b,gemma3_4b,Go Live,0.2370919802906046
llama31_8b,gemma3_4b,Keeping up with friends,0.3972923651295514
llama31_8b,gemma3_4b,List items for sale,0.3738733270897873
llama31_8b,gemma3_4b,Photo effects,0.22472774506126428
llama31_8b,gemma3_4b,Play games,0.23793476314912382
llama31_8b,gemma3_4b,Play playlist on shuffle mode,0.646422200219885
llama31_8b,gemma3_4b,Rate movies,0.2546804505498796
llama31_8b,gemma3_4b,Search for offer on item,0.09704883530438
llama31_8b,gemma3_4b,Send files,0.4649619545973364
llama31_8b,gemma3_4b,Watch streams,0.171722955060861
llama31_8b,gemma3_4b,Write notes,0.5045401606009122
llama31_8b,qwen3_8b,Access to movies,0.7052253273968837
llama31_8b,qwen3_8b,Access to podcasts,0.5652206334008598
llama31_8b,qwen3_8b,Broadcast messages to multiple contacts,0.4356576519417599
llama31_8b,qwen3_8b,Build photo collage,0.06019961940403332
llama31_8b,qwen3_8b,Collaborate with others,0.46551809496125524
llama31_8b,qwen3_8b,Go Live,0.2863982110849986
llama31_8b,qwen3_8b,Keeping up with friends,0.6667119559157461
llama31_8b,qwen3_8b,List items for sale,0.2425457442932485
llama31_8b,qwen3_8b,Photo effects,0.2243447152164799
llama31_8b,qwen3_8b,Play games,0.34015220562243764
llama31_8b,qwen3_8b,Play playlist on shuffle mode,0.5527107107882966
llama31_8b,qwen3_8b,Rate movies,0.43647781659649815
llama31_8b,qwen3_8b,Search for offer on item,0.10564262900276856
llama31_8b,qwen3_8b,Send files,0.42560378176258035
llama31_8b,qwen3_8b,Watch streams,0.2744294542359805
llama31_8b,qwen3_8b,Write notes,0.5155774440121003
llama31_8b,gptoss20b,Access to movies,0.7717551492692353
llama31_8b,gptoss20b,Access to podcasts,0.633348898509794
llama31_8b,gptoss20b,Broadcast messages to multiple contacts,0.42361820131233263
llama31_8b,gptoss20b,Build photo collage,0.06573181792533622
llama31_8b,gptoss20b,Collaborate with others,0.5003564087771014
llama31_8b,gptoss20b,Go Live,0.2253235573724182
llama31_8b,gptoss20b,Keeping up with friends,0.5559260399473532
llama31_8b,gptoss20b,List items for sale,0.27254369862417394
llama31_8b,gptoss20b,Photo effects,0.22596399852775817
llama31_8b,gptoss20b,Play games,0.17813553468114476
llama31_8b,gptoss20b,Play playlist on shuffle mode,0.6825503316612338
llama31_8b,gptoss20b,Rate movies,0.4899207256614563
llama31_8b,gptoss20b,Search for offer on item,0.09221456889837197
llama31_8b,gptoss20b,Send files,0.14081400863011148
llama31_8b,gptoss20b,Watch streams,0.16976156846386053
llama31_8b,gptoss20b,Write notes,0.524248722549944
llama31_8b,mistral_open,Access to podcasts,0.5835749177021048
llama31_8b,mistral_open,Broadcast messages to multiple contacts,0.4208333108009238
llama31_8b,mistral_open,Build photo collage,0.02888620796196203
llama31_8b,mistral_open,Collaborate with others,0.5132451921737489
llama31_8b,mistral_open,Go Live,0.2247060920882375
llama31_8b,mistral_open,Keeping up with friends,0.7525945031391654
llama31_8b,mistral_open,Photo effects,0.17015493293689204
llama31_8b,mistral_open,Play games,0.36988510372136424
llama31_8b,mistral_open,Play playlist on shuffle mode,0.6738160880887873
llama31_8b,mistral_open,Rate movies,0.3876416372171216
llama31_8b,mistral_open,Search for offer on item,0.03406221624001534
llama31_8b,mistral_open,Watch streams,0.09907941341711725
llama31_8b,mistral_open,Write notes,0.6318461759079681
llama31_8b,deepseekr1_8b,Access to movies,0.6908430221770416
llama31_8b,deepseekr1_8b,Access to podcasts,0.5841914060145749
llama31_8b,deepseekr1_8b,Broadcast messages to multiple contacts,0.4226965092765984
llama31_8b,deepseekr1_8b,Build photo collage,0.036206516069789745
llama31_8b,deepseekr1_8b,Collaborate with others,0.4395726923954639
llama31_8b,deepseekr1_8b,Go Live,0.168215330963647
llama31_8b,deepseekr1_8b,Keeping up with friends,0.5953448122989148
llama31_8b,deepseekr1_8b,List items for sale,0.29801706298552166
llama31_8b,deepseekr1_8b,Photo effects,0.1907361560692788
llama31_8b,deepseekr1_8b,Play games,0.3163570458920224
llama31_8b,deepseekr1_8b,Play playlist on shuffle mode,0.6570127573630075
llama31_8b,deepseekr1_8b,Rate movies,0.46347662823925867
llama31_8b,deepseekr1_8b,Search for offer on item,0.1291074121229232
llama31_8b,deepseekr1_8b,Send files,0.280284263610975
llama31_8b,deepseekr1_8b,Watch streams,0.20074388810253624
llama31_8b,deepseekr1_8b,Write notes,0.37562658261986376
llama31_8b,openai,Access to movies,0.8283066159681911
llama31_8b,openai,Access to podcasts,0.5902854323423654
llama31_8b,openai,Broadcast messages to multiple contacts,0.34270479404507653
llama31_8b,openai,Build photo collage,0.03561594596301012
llama31_8b,openai,Collaborate with others,0.6024881087096512
llama31_8b,openai,Go Live,0.2871164189594116
llama31_8b,openai,Keeping up with friends,0.21378050754846956
llama31_8b,openai,List items for sale,0.3211469794398567
llama31_8b,openai,Photo effects,0.3376344085612459
llama31_8b,openai,Play games,0.00028331112646313723
llama31_8b,openai,Play playlist on shuffle mode,0.6843191251138621
llama31_8b,openai,Rate movies,0.21029792182915344
llama31_8b,openai,Search for offer on item,0.13538038169711653
llama31_8b,openai,Send files,0.45632469327214764
llama31_8b,openai,Watch streams,0.19242105645258892
llama31_8b,openai,Write notes,0.4467709021537805
llama31_8b,gemini,Access to movies,0.6195858157040304
llama31_8b,gemini,Access to podcasts,0.4814983312013069
llama31_8b,gemini,Broadcast messages to multiple contacts,0.08032223688563551
llama31_8b,gemini,Build photo collage,0.16872107294372493
llama31_8b,gemini,Collaborate with others,0.5324227856691722
llama31_8b,gemini,Go Live,0.31574221604063263
llama31_8b,gemini,Keeping up with friends,0.49301891233660705
llama31_8b,gemini,List items for sale,0.3776052087111071
llama31_8b,gemini,Photo effects,0.21138054268289416
llama31_8b,gemini,Play games,0.15803376427393234
llama31_8b,gemini,Play playlist on shuffle mode,0.3643547512471577
llama31_8b,gemini,Rate movies,0.451501951850158
llama31_8b,gemini,Search for offer on item,0.10902907945344843
llama31_8b,gemini,Send files,0.47725158522136446
llama31_8b,gemini,Watch streams,0.42943890345888536
llama31_8b,gemini,Write notes,0.3283997568177628
llama31_8b,anthropic,Access to movies,0.7769381202263486
llama31_8b,anthropic,Access to podcasts,0.5945195295853023
llama31_8b,anthropic,Broadcast messages to multiple contacts,0.3533869650798185
llama31_8b,anthropic,Build photo collage,0.0728191860134155
llama31_8b,anthropic,Collaborate with others,0.5254296225605727
llama31_8b,anthropic,Go Live,0.15400764106498413
llama31_8b,anthropic,Keeping up with friends,0.4723859057271197
llama31_8b,anthropic,List items for sale,0.4659280118840103
llama31_8b,anthropic,Photo effects,0.31646827112506826
llama31_8b,anthropic,Play games,0.36614418994160153
llama31_8b,anthropic,Play playlist on shuffle mode,0.6882804704681156
llama31_8b,anthropic,Rate movies,0.456610239799817
llama31_8b,anthropic,Search for offer on item,0.15674455238946908
llama31_8b,anthropic,Send files,0.4144225225242352
llama31_8b,anthropic,Watch streams,0.3156937160427218
llama31_8b,anthropic,Write notes,0.34120351979950864
llama31_8b,mistral,Access to movies,0.7945184022321046
llama31_8b,mistral,Access to podcasts,0.5888293764157346
llama31_8b,mistral,Broadcast messages to multiple contacts,0.44415842347149626
llama31_8b,mistral,Build photo collage,0.027468744716790262
llama31_8b,mistral,Collaborate with others,0.4941336040284778
llama31_8b,mistral,Go Live,0.28253965092995076
llama31_8b,mistral,Keeping up with friends,0.56795883385317
llama31_8b,mistral,List items for sale,0.3743939472532234
llama31_8b,mistral,Photo effects,0.3829065826229619
llama31_8b,mistral,Play games,0.23615900994518957
llama31_8b,mistral,Play playlist on shuffle mode,0.6691717753614427
llama31_8b,mistral,Rate movies,0.4415483521631124
llama31_8b,mistral,Search for offer on item,0.26902822489227163
llama31_8b,mistral,Send files,0.15194091711038593
llama31_8b,mistral,Watch streams,0.20275290195419118
llama31_8b,mistral,Write notes,0.4934754998304561
gemma3_4b,qwen3_8b,Access to movies,0.7445592296747927
gemma3_4b,qwen3_8b,Access to podcasts,0.6241887079035814
gemma3_4b,qwen3_8b,Broadcast messages to multiple contacts,0.47799463700487577
gemma3_4b,qwen3_8b,Build photo collage,0.24090181968547106
gemma3_4b,qwen3_8b,Collaborate with others,0.3637728330160103
gemma3_4b,qwen3_8b,Go Live,0.5429426050339651
gemma3_4b,qwen3_8b,Keeping up with friends,0.4524568038090603
gemma3_4b,qwen3_8b,List items for sale,0.6463791854334754
gemma3_4b,qwen3_8b,Photo effects,0.2828027576022381
gemma3_4b,qwen3_8b,Play games,0.3442098920543085
gemma3_4b,qwen3_8b,Play playlist on shuffle mode,0.7428619101538954
gemma3_4b,qwen3_8b,Rate movies,0.28819636623909806
gemma3_4b,qwen3_8b,Search for offer on item,0.1557416200144071
gemma3_4b,qwen3_8b,Send files,0.44520779063369614
gemma3_4b,qwen3_8b,Watch streams,0.4105364925322457
gemma3_4b,qwen3_8b,Write notes,0.7458655162383724
gemma3_4b,gptoss20b,Access to movies,0.8581170025275497
gemma3_4b,gptoss20b,Access to podcasts,0.5592647422068643
gemma3_4b,gptoss20b,Broadcast messages to multiple contacts,0.4634512615820629
