name,description,type,sources
Ad-Supported Free Access,Availability of free content with advertisements.,Boolean [1],"Official app websites, user reviews"
Ad-Supported Free Access,Whether the platform offers free content with advertisements.,Boolean [1],"Official app websites, industry reports"
Ad-Supported Free Access,Whether the platform offers free content with advertisements.,Boolean [1],"Official app websites, industry reports"
Ad-Supported Free Access,Availability of free content supported by advertisements.,Boolean [1],"Official app websites, user reviews"
Ad-Supported Free Access,Availability of a free tier with advertisements.,Boolean [1],"Official app websites, user reviews"
Ad-Supported Free Access,Whether the platform offers free content with advertisements.,Boolean [1],"Official app websites, industry reports"
Ad-Supported Free Access,Whether the platform offers free content supported by advertisements.,Boolean [1],Official app websites
Ad-Supported Free Access,Whether the platform offers a free tier with advertisements.,Boolean [1],"Official app websites, industry reports"
Ad-Supported Free Access,Indicates whether the platform offers free content with advertisements.,Boolean,"Official platform websites, user reviews"
Ad-Supported Free Access,Availability of a free tier with advertisements.,Boolean [1],"Official app websites, service descriptions"
Content Curation,The quality and relevance of content recommendations provided to users.,Text [1],"User reviews, industry analyses"
Content Curation,The quality and relevance of content recommendations and curation.,Text [1],"User reviews, industry analyses"
Content Genre Variety,The diversity of movie genres available on the platform.,Text [*],"Official app websites, content libraries"
Content Library Size,The total number of movies and TV shows available on the platform.,Integer [1],"Official app websites, industry reports"
Content Library Size,The total number of movies and TV shows available on the platform.,Integer [1],"Official app websites, industry reports"
Content Library Size,The total number of movies and TV shows available on the platform.,Integer [1],"Official app websites, industry reports"
Content Library Size,The total number of movies and TV shows available on the platform.,Integer [1],"Official app websites, industry reports"
Content Library Size,The total number of movies and TV shows available on the platform.,Integer [1],"Official app websites, industry reports"
Content Library Size,The total number of movies and TV shows available on the platform.,Integer [1],"Official app websites, industry reports"
Content Library Size,The total number of movies and TV shows available on the platform.,Integer [1],"Official app websites, industry reports"
Content Library Size,The total number of movies and TV shows available on the platform.,Integer [1],"Official app websites, industry reports"
Content Library Size,The total number of movies and TV shows available on the platform.,Integer,"Official platform websites, industry reports"
Content Library Size,The total number of movies and TV shows available on the platform.,Integer [1],"Official app websites, industry reports"
Content Quality,Availability of high-definition and 4K content.,Boolean [1],"Official app websites, tech specifications"
Device Compatibility,Range of devices and operating systems supported by the app.,Text [*],"Official app websites, app store listings"
Device Compatibility,"The range of devices (e.g., smartphones, smart TVs, streaming devices) that support the platform's app.",Text [*],"Official app websites, industry reports"
Device Compatibility,"The range of devices (e.g., smartphones, smart TVs, streaming devices) that support the platform.",Text [*],"Official app websites, industry reports"
Device Compatibility,"The range of devices (e.g., smartphones, smart TVs, streaming devices) that support the app.",Text [*],"Official app websites, user manuals"
Device Compatibility,"The range of devices (e.g., smartphones, smart TVs, streaming devices) supported by the app.",Text [*],"Official app websites, support pages"
Device Compatibility,"The range of devices (e.g., smartphones, smart TVs, streaming devices) that support the platform's app.",Text [*],"Official app websites, industry reports"
Device Compatibility,"The range of devices (e.g., smartphones, smart TVs, streaming devices) that support the platform's app.",Text [1],"Official app websites, user manuals"
Device Compatibility,"The range of devices (e.g., smartphones, smart TVs, streaming devices) that support the platform's app.",Text [*],"Official app websites, industry reports"
Device Compatibility,"The range of devices (e.g., smartphones, smart TVs, streaming devices) that support the platform's app.",Text,"Official platform support pages, user manuals"
Device Compatibility,"The range of devices (e.g., smartphones, smart TVs, streaming devices) supported by the app.",Text [*],"Official app websites, support pages"
Geographic Availability,The countries or regions where the platform is accessible.,Text [*],"Official app websites, industry reports"
Geographic Availability,The countries or regions where the app is accessible.,Text [*],"Official app websites, service descriptions"
Geographical Availability,The countries or regions where the platform is accessible.,Text [*],"Official app websites, industry reports"
Geographical Availability,Regions or countries where the app is accessible.,Text [*],"Official app websites, press releases"
Geographical Availability,Regions or countries where the app is accessible.,Text [*],"Official app websites, press releases"
Geographical Availability,The countries or regions where the platform is accessible.,Text [*],"Official app websites, industry reports"
Geographical Availability,Regions or countries where the platform is accessible.,Text [1],"Official app websites, industry reports"
International Availability,Number of countries where the service is available.,Integer [1],"Official app websites, press releases"
Live TV Access,Availability of live television channels or events.,Boolean [1],"Official app websites, service descriptions"
Live TV and Events,Availability of live television channels or live events streaming.,Boolean [1],Official app websites
Live TV and Sports,Availability of live television channels and sports content.,Boolean [1],"Official app websites, content listings"
Live TV Availability,Whether the platform offers live television channels.,Boolean [1],"Official app websites, industry reports"
Live TV Availability,Presence of live television channels or events.,Boolean [1],"Official app websites, service descriptions"
Offline Viewing,Ability to download content for offline viewing.,Boolean [1],"Official app websites, user guides"
Offline Viewing,Availability of downloading content for offline viewing.,Boolean [1],"Official app websites, industry reports"
Offline Viewing,Availability of downloading content for offline viewing.,Boolean [1],"Official app websites, industry reports"
Offline Viewing,Availability of downloading content for offline viewing.,Boolean [1],"Official app websites, user guides"
Offline Viewing,Availability of downloading content for offline viewing.,Boolean [1],"Official app websites, user guides"
Offline Viewing,Availability of downloading content for offline viewing.,Boolean [1],"Official app websites, industry reports"
Offline Viewing,Availability of downloading content for offline viewing.,Boolean [1],Official app websites
Offline Viewing,Availability of downloading content for offline viewing.,Boolean [1],"Official app websites, feature lists"
Original Content,Availability of exclusive movies and series produced by the platform.,Boolean [1],"Official app websites, press releases"
Original Content,The number of exclusive movies and TV shows produced by the platform.,Integer [1],"Official app websites, industry reports"
Original Content,The number of exclusive movies and TV shows produced by the platform.,Integer [1],"Official app websites, industry reports"
Original Content,The number of exclusive movies and TV series produced by the platform.,Integer [1],"Official app websites, press releases"
Original Content,The number of exclusive movies and series produced by the platform.,Integer [1],"Official app websites, press releases"
Original Content,The number of exclusive movies and TV series produced by the platform.,Integer [1],"Official app websites, industry reports"
Original Content,The availability and quality of exclusive movies and series produced by the platform.,Text [1],"Official app websites, industry reviews"
Original Content,The number of exclusive movies and TV series produced by the platform.,Integer [1],"Official app websites, industry reports"
Original Content,The number of exclusive movies and TV series produced by the platform.,Integer,"Official platform announcements, industry news outlets"
Original Content,The number of exclusive movies and series produced by the platform.,Integer [1],"Official app websites, press releases"
Streaming Quality,The maximum video resolution and audio quality offered by the platform.,Text [1],"Official app websites, industry reports"
Streaming Quality,The maximum video resolution and audio quality offered by the platform.,Text [1],"Official app websites, industry reports"
Streaming Quality,The maximum resolution and audio quality offered by the platform.,Text [1],"Official app websites, tech reviews"
Streaming Quality,The maximum video resolution and audio quality offered by the platform.,Text [1],"Official app websites, tech reviews"
Streaming Quality,The maximum video resolution and audio quality offered by the platform.,Text [1],"Official app websites, industry reports"
Streaming Quality,The maximum video resolution and audio quality offered by the platform.,Text [1],"Official app websites, technical specifications"
Streaming Quality,The maximum video resolution and audio quality offered by the platform.,Text [1],"Official app websites, tech specifications"
Subscription Cost,Monthly fee required to access the platform's content.,Float [1],"Official app websites, pricing pages"
Subscription Cost,The monthly fee required to access the platform's content.,Float [1],"Official app websites, industry reports"
Subscription Cost,The monthly fee required to access the platform's content.,Float [1],"Official app websites, industry reports"
Subscription Cost,The monthly fee required to access the platform's content.,Float [1],Official app websites
Subscription Cost,The monthly fee required to access the platform's content.,Float [1],"Official app websites, pricing pages"
Subscription Cost,The monthly fee required to access the platform's content.,Float [1],"Official app websites, industry reports"
Subscription Cost,The monthly or annual fee required to access the platform's content.,Float [1],Official app websites
