App,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
Amazon Shopping,1,1,1,1,1,0,1,1,1,0
Google Shopping,2,2,2,2,2,0,0,0,0,0
Honey,0,0,0,0,0,2,0,0,0,2
eBay,0,0,0,0,4,0,2,2,2,0
ShopSavvy,8,8,9,3,9,1,0,0,0,1
Fashwell,0,0,0,0,0,3,0,0,0,0
Walmart Shopping & Grocery,0,0,0,0,3,0,3,3,7,0
AliExpress,0,0,0,0,0,0,4,4,3,0
Lyst,0,0,0,0,0,4,0,0,0,4
ShopStyle,0,0,0,0,0,7,0,0,0,3
Shopify,3,3,3,0,5,0,8,8,5,0
ThredUp,4,4,4,7,8,0,0,0,0,0
The Hunt,0,0,0,0,0,0,0,0,0,5
Wish,0,0,0,0,0,0,5,5,4,7
SHEIN,5,5,5,4,6,10,0,0,0,0
Gilt,0,0,0,0,0,6,0,0,0,6
The Yes,0,0,0,8,0,5,0,0,0,0
Namshi,0,0,7,6,0,0,0,0,0,0
Target,0,0,0,0,0,0,6,6,8,0
Etsy,0,0,0,0,0,0,7,7,6,0
ASOS,6,6,6,5,7,8,10,10,10,8
Meesho,7,7,8,0,0,0,0,0,0,0
Zalando,0,0,0,0,0,9,9,9,9,9
Slyce,9,0,10,9,0,0,0,0,0,0
Klarna,0,9,0,0,10,0,0,0,0,0
Capital One Shopping,10,10,0,0,0,0,0,0,0,0
Style DNA,0,0,0,10,0,0,0,0,0,0
Farfetch,0,0,0,0,0,0,0,0,0,10
