App,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
Notion AI,1,1,1,1,1,1,1,1,1,1
Grammarly,2,2,2,2,3,2,2,2,2,2
Jasper,0,5,0,0,2,3,0,0,0,0
Otter.ai,3,8,3,3,0,5,3,0,0,3
Mem AI,4,3,6,4,4,4,7,4,6,5
Perplexity AI,0,0,0,0,0,0,8,3,0,6
Taskade,0,0,0,0,0,0,0,0,5,0
Perplexity,0,4,7,5,5,0,0,0,7,0
ClickUp,0,9,0,0,0,0,0,0,4,0
Reclaim AI,5,0,4,6,0,0,10,5,0,7
Asana,8,10,0,10,0,0,5,0,3,0
Trello,7,0,0,9,0,0,4,0,0,0
Tidio,0,6,0,0,0,0,0,0,0,0
Fathom,0,0,0,0,0,6,0,0,0,0
Fireflies.ai,6,7,5,7,0,0,9,0,9,4
Timely,0,0,0,0,7,0,0,0,0,0
Tabnine,0,0,0,0,0,0,0,7,0,0
Evernote,9,0,0,0,0,0,6,0,0,0
Relay,0,0,0,0,6,0,0,10,0,0
Braina,0,0,8,0,0,0,0,8,0,0
ClickUp AI,0,0,0,8,0,0,0,0,0,0
Todoist,0,0,0,0,8,8,0,0,0,0
Microsoft Copilot,0,0,0,0,0,0,0,0,8,0
Copy.ai,10,0,10,0,0,0,0,6,0,8
Descript,0,0,0,0,10,7,0,0,0,0
Any.do,0,0,9,0,0,0,0,0,0,9
Wordtune,0,0,0,0,0,0,0,9,0,0
Krisp,0,0,0,0,9,9,0,0,0,0
Lately.ai,0,0,0,0,0,0,0,0,10,0
Superhuman,0,0,0,0,0,0,0,0,0,10
Dooly,0,0,0,0,0,10,0,0,0,0
