model,feature,name,description,type,sources,cluster_id,cluster_size,selection_method,centroid_distance,connectivity_score,silhouette_score
openai,Play games,User Interface,Ease of use and design quality of the app's interface.,Text [1],"App Store, Google Play Store, Official App Websites",0,167,aggregated_voting,0.30722305178642273,0.835887610912323,0.2486269474029541
gemini,Search for offer on item,User Ratings,"Average rating given by users on app stores, reflecting user satisfaction.",Float[1],"Google Play Store, Apple App Store",1,141,aggregated_voting,0.2529018819332123,0.8779327273368835,0.38927361369132996
gemini,Rate movies,Ease of Use,How user-friendly and intuitive the app interface is.,Boolean,User reviews,2,89,aggregated_voting,0.3265843987464905,0.78226238489151,0.07390822470188141
openai,Broadcast messages to multiple contacts,Security and Privacy,The level of encryption and privacy features offered to protect user data and communications.,Text [1],"App Documentation, Security Audits",3,79,aggregated_voting,0.38901087641716003,0.7867180109024048,0.13081525266170502
gemini,Photo effects,Cost,"The app's pricing model, including whether it's free, subscription-based, or has in-app purchases.",Text[1],"App store, editor reviews",4,91,aggregated_voting,0.2569222152233124,0.8796815872192383,0.41518640518188477
gemini,Write notes,Collaboration Features,"The ability to share notes with others, collaborate in real-time, assign tasks, and manage team projects within the app.",Boolean,Multiple sources,5,18,aggregated_voting,0.42472466826438904,0.7166306972503662,0.18453063070774078
openai,Write notes,Customization Options,"The ability to customize the app's interface, themes, and functionality.",Text [*],"Official app websites, user reviews",6,52,aggregated_voting,0.442704975605011,0.7005078792572021,0.13464023172855377
anthropic,Access to podcasts,Cross-Platform Sync,"Ability to synchronize listening progress, subscriptions, and playlists across multiple devices",Boolean [1],"Feature documentation, user manuals, testing reports",7,51,aggregated_voting,0.46340322494506836,0.7084826231002808,0.2468404918909073
mistral,Build photo collage,Feature Set,"Range and quality of features offered by the app, such as templates, editing tools, and sharing options.",Text [1],"App Store Descriptions, Expert Reviews, User Feedback",8,61,aggregated_voting,0.32877472043037415,0.8304134607315063,0.3768046200275421
openai,Watch streams,Content Variety,"The range and diversity of live streaming content available on the platform, including genres like sports, gaming, entertainment, and news.",Text [1],"turn0news14,turn0news15,turn0news13",9,44,aggregated_voting,0.3048509359359741,0.834322988986969,0.4647926390171051
mistral,Write notes,Cross-Platform Availability,"Availability of the app on different platforms like iOS, Android, Windows, macOS, and web.",Boolean [*],"Official app websites, app store descriptions",10,107,aggregated_voting,0.22838552296161652,0.8891119360923767,0.2792515754699707
mistral,Watch streams,Unique Features,"Special features that set the app apart from competitors, such as offline downloads, multiple profiles, etc.",Text [*],"Official app descriptions, user reviews, tech blogs",11,54,aggregated_voting,0.4393187463283539,0.7312273383140564,0.20464111864566803
mistral,Access to movies,Device Compatibility,The range of devices and platforms on which the app is available.,Text [1],"Official app descriptions, app websites, third-party reviews",12,59,aggregated_voting,0.23570074141025543,0.8964934945106506,0.4002224802970886
mistral,Go Live,Ease of Use,The user-friendliness of the app interface and the simplicity of starting and managing live streams.,Float [1],"Usability Testing Reports, User Reviews, App Tutorials",13,27,aggregated_voting,0.4225965142250061,0.7422654032707214,0.22229212522506714
mistral,Rate movies,Update Frequency,"How often the app is updated with new features, bug fixes, and content.",Text [1],"App Store, Google Play Store, official app blogs",14,21,aggregated_voting,0.23542284965515137,0.8820151090621948,0.5120759010314941
perplexity,Rate movies,User Ratings and Reviews,"Ability for users to rate movies and write reviews, providing qualitative feedback and numeric ratings","Float [1], Text [*]","App Store, Google Play, Letterboxd",15,37,aggregated_voting,0.4301488697528839,0.7387131452560425,0.14862173795700073
perplexity,Collaborate with others,Pricing Model,"Cost structure including free plans, subscription pricing, and paid account features.",Text [1],"1, 3, 4",16,30,aggregated_voting,0.37658658623695374,0.7754808068275452,0.1323571801185608
perplexity,Send files,Ease of Use,"User interface simplicity, ease of setup, and convenience for one-off or frequent file transfers",Text [1][3],"anyviewer.com, tomsguide.com",17,19,aggregated_voting,0.410308837890625,0.7501707077026367,0.26356780529022217
mistral,Play playlist on shuffle mode,User Interface and Experience,"The ease of use and navigation within the app, including the shuffle feature.",Text[1],"User reviews, tech reviews, app store ratings",18,30,aggregated_voting,0.4539601802825928,0.6954907774925232,0.04560856893658638
openai,Broadcast messages to multiple contacts,Customer Support,The availability and quality of customer support services.,Text [1],"Official app websites, user reviews",19,25,aggregated_voting,0.3702991306781769,0.8065205216407776,0.44857096672058105
perplexity,Keeping up with friends,User Engagement,Measures how frequently and actively users interact with the app.,Integer,"1, 2",20,34,aggregated_voting,0.40160924196243286,0.7768869996070862,0.32670724391937256
gemini,Go Live,Monetization Options,"The availability of features that allow creators to earn revenue from their live streams, such as subscriptions, donations, or ad revenue sharing.",Boolean,"App descriptions, User reviews",21,34,aggregated_voting,0.32725396752357483,0.8470751047134399,0.4653964936733246
anthropic,Go Live,Monthly Active Users,"Total number of active users per month, indicating platform reach and audience size",Integer [1],"App analytics platforms, company reports, market research",22,43,aggregated_voting,0.4148567020893097,0.7662767767906189,0.22412101924419403
mistral,Collaborate with others,Integration Capabilities,Ability to integrate with other popular apps and services.,Text [1],"Official app websites, integration marketplaces, user reviews",23,58,aggregated_voting,0.3177206218242645,0.827992856502533,0.37035518884658813
mistral,Access to movies,Subscription Cost,The monthly or yearly cost of the subscription if applicable.,Float [1],"Official platform websites, app store listings",24,37,aggregated_voting,0.3479851484298706,0.8247376084327698,0.28383225202560425
mistral,Build photo collage,Number of Downloads,Total number of times the app has been downloaded from major app stores.,Integer [1],"Google Play Store, Apple App Store, App Annie",25,25,aggregated_voting,0.2324434071779251,0.9050436615943909,0.5579404830932617
mistral,Access to movies,Streaming Quality,"The quality of the streaming service, including resolution (HD, 4K) and buffering times.",Text [1],"User reviews, tech reviews, official app websites",26,41,aggregated_voting,0.294353187084198,0.8703271150588989,0.5032602548599243
openai,Broadcast messages to multiple contacts,Security and Privacy,"The level of security and privacy features offered by the app, such as end-to-end encryption and data protection measures.",Boolean,"turn0search15,turn0search17,turn0news12",27,33,aggregated_voting,0.28795886039733887,0.8696610927581787,0.32765212655067444
openai,Keeping up with friends,Platform Availability,"The operating systems and devices the app supports, affecting accessibility.",Text [1],"Official App Websites, App Store Listings",28,27,aggregated_voting,0.279310405254364,0.8809214234352112,0.31835484504699707
mistral,Rate movies,Social Features,"The availability of social features such as following friends, sharing reviews, and participating in community discussions.",Boolean[1],"Official app descriptions, user reviews",29,30,aggregated_voting,0.30178701877593994,0.8507238030433655,0.43753114342689514
gemini,Rate movies,Personalized Recommendations,Ability of the app to provide movie recommendations based on user ratings and preferences.,Boolean,"App description, user reviews",30,17,aggregated_voting,0.3323458731174469,0.8302514553070068,0.300847589969635
openai,Send files,Additional Features,"Extra functionalities such as cloud storage, media playback, or collaboration tools.",Text [*],"turn0news12,turn0news13",31,32,aggregated_voting,0.35810586810112,0.8119747638702393,0.3229607939720154
perplexity,Search for offer on item,Platform Availability,"Support for major platforms such as iOS, Android, and web",Text [*],"NextStepLiving, Jotform",32,80,aggregated_voting,0.28998619318008423,0.8707623481750488,0.2012559026479721
anthropic,Collaborate with others,Cross-platform Compatibility,"Number of supported platforms and operating systems including mobile, desktop, web, and integration capabilities",Integer [1-8],"App store availability, official website, platform specifications",33,25,aggregated_voting,0.2789379954338074,0.8760901689529419,0.35827893018722534
perplexity,Watch streams,User Base Size,Number of active users or downloads indicating app popularity and community size.,Integer[1],"Google Play Store, App analytics",34,76,aggregated_voting,0.36300283670425415,0.801633358001709,0.07360324263572693
mistral,Keeping up with friends,Social Integration,The ease of integrating with other social media platforms and sharing content.,Text [1],"App Store descriptions, Google Play descriptions, TechCrunch, The Verge",35,15,aggregated_voting,0.3628845810890198,0.7938331365585327,0.3280116617679596
openai,Broadcast messages to multiple contacts,User Base,"The number of active users on the platform, indicating its popularity and reach.",Integer [1],"App Store, Google Play Store, Company Reports",36,35,aggregated_voting,0.22262611985206604,0.9042075276374817,0.39552950859069824
gemini,Access to movies,Content Library Size,Total number of movies and TV shows available on the platform.,Integer[*],"App Store, Google Play Store, Streaming Service Website",37,42,aggregated_voting,0.2867692708969116,0.874740481376648,0.49699532985687256
mistral,Play games,In-App Purchases,The availability and variety of in-app purchases.,Boolean [1],"Google Play Store, Apple App Store",38,10,aggregated_voting,0.2587624788284302,0.8849660158157349,0.4209683835506439
