model1,model2,feature,rbo
llama31_8b,gemma3_4b,Read ebooks,0.22217083760882153
llama31_8b,gemma3_4b,Download books,0.2588612027588573
llama31_8b,gemma3_4b,Sync reading progress,0.15725560331724275
llama31_8b,gemma3_4b,Highlight text,0.018037512175880153
llama31_8b,gemma3_4b,Search within books,0.3315335700826706
llama31_8b,gemma3_4b,Send messages,0.66995816526894
llama31_8b,gemma3_4b,Private chat with users,0.5817692430187449
llama31_8b,gemma3_4b,Real-time messaging,0.6666770265553035
llama31_8b,gemma3_4b,Access courses,0.6843178063058977
llama31_8b,gemma3_4b,Watch lectures,0.44471283904702064
llama31_8b,gemma3_4b,Take quizzes,0.172628684853216
llama31_8b,gemma3_4b,Track learning progress,0.41313971094721486
llama31_8b,gemma3_4b,Offline learning,0.43704433246211855
llama31_8b,gemma3_4b,Watch live TV,0.3193455641181084
llama31_8b,gemma3_4b,Watch videos,0.6897147609805658
llama31_8b,gemma3_4b,Transfer money,0.6691024966613532
llama31_8b,gemma3_4b,Send money to anyone,0.7041975434191184
llama31_8b,gemma3_4b,Receive money,0.6408211164331493
llama31_8b,gemma3_4b,Pay bills,0.06646541896171143
llama31_8b,gemma3_4b,Pay credit card bills,0.017658533458295274
llama31_8b,gemma3_4b,Schedule payments,0.020792030694470172
llama31_8b,gemma3_4b,Share payments,0.5848020270733886
llama31_8b,gemma3_4b,View account balances,0.015207956715553592
llama31_8b,gemma3_4b,View transaction history,0.05955391890179536
llama31_8b,gemma3_4b,Receive payment receipts,0.11161543804605188
llama31_8b,gemma3_4b,Store bill details securely,0.051175062503703114
llama31_8b,gemma3_4b,Activate cards for overseas usage,0.03990402738059745
llama31_8b,gemma3_4b,Currency converter,0.06494774773839497
llama31_8b,gemma3_4b,Financial calculators,0.34876177690597104
llama31_8b,gemma3_4b,Remittances overseas,0.21656853231867995
llama31_8b,gemma3_4b,Track workouts,0.330507472355536
llama31_8b,gemma3_4b,Monitor heart rate,0.07159973655998043
llama31_8b,gemma3_4b,Set fitness goals,0.3699701717770067
llama31_8b,gemma3_4b,Track weight,0.4701374712689704
llama31_8b,gemma3_4b,Follow training plans,0.2975309948578336
llama31_8b,gemma3_4b,View progress charts,0.4753946835185744
llama31_8b,gemma3_4b,Get audio coaching,0.026748609829890087
llama31_8b,gemma3_4b,Track routes on map,0.6024058813762351
llama31_8b,gemma3_4b,Diet planning,0.46596996986903105
llama31_8b,gemma3_4b,Calorie tracking,0.48460748508571916
llama31_8b,gemma3_4b,Turn-by-turn navigation,0.7338204174222979
llama31_8b,gemma3_4b,Find nearby places,0.3225899785951295
llama31_8b,gemma3_4b,View maps offline,0.3689053107142685
llama31_8b,gemma3_4b,Check public transport routes,0.5238390319888873
llama31_8b,gemma3_4b,Save favorite locations,0.3631888354070349
llama31_8b,gemma3_4b,Real-time traffic updates,0.41354663891269
llama31_8b,gemma3_4b,Stream music,0.6761595834711024
llama31_8b,gemma3_4b,Create playlists,0.6774160074200367
llama31_8b,gemma3_4b,Download content for offline use,0.0816510250589169
llama31_8b,gemma3_4b,Audio playback controls,0.4609994548776346
llama31_8b,gemma3_4b,Record audio,0.13427782031567484
llama31_8b,gemma3_4b,Edit audio files,0.3122378402470361
llama31_8b,gemma3_4b,Access breaking news,0.48845279922436424
llama31_8b,gemma3_4b,Personalized news feed,0.48894290894533626
llama31_8b,gemma3_4b,Read articles offline,0.44630333213132645
llama31_8b,gemma3_4b,Bookmark articles,0.46503881171746797
llama31_8b,gemma3_4b,Search news topics,0.6156969950240007
llama31_8b,gemma3_4b,Listen to interviews,0.07557429971293296
llama31_8b,gemma3_4b,Receive news notifications,0.48494313024845936
llama31_8b,gemma3_4b,Browse by categories,0.3172386852525858
llama31_8b,gemma3_4b,Set wallpapers,0.02341113892420525
llama31_8b,gemma3_4b,Customize themes,0.00425390499019999
llama31_8b,gemma3_4b,Change fonts,0.004720710691077047
llama31_8b,gemma3_4b,Automatic wallpaper rotation,0.06187913813873878
llama31_8b,gemma3_4b,Customize interface settings,0.0724032250996365
llama31_8b,gemma3_4b,Photo editing tools,0.30996135651614154
llama31_8b,gemma3_4b,Apply filters and effects,0.2694544536848669
llama31_8b,gemma3_4b,Create collages,0.141773840918321
llama31_8b,gemma3_4b,Adjust image settings,0.3043338645357585
llama31_8b,gemma3_4b,Save images locally,0.31633243668145594
llama31_8b,gemma3_4b,Share edited photos,0.3508509087969718
llama31_8b,gemma3_4b,Backup and restore data,0.3863486833792994
llama31_8b,gemma3_4b,Sync across devices,0.23254064778625338
llama31_8b,gemma3_4b,Search for products,0.09579909027326963
llama31_8b,gemma3_4b,Compare prices,0.2957875155214551
llama31_8b,gemma3_4b,Add items to wishlist,0.20752162453128314
llama31_8b,gemma3_4b,Secure checkout,0.09372981380306808
llama31_8b,gemma3_4b,Track order delivery status,0.038329883533937396
llama31_8b,gemma3_4b,Browse by category,0.3448565034220427
llama31_8b,gemma3_4b,View product reviews,0.38425356090180235
llama31_8b,gemma3_4b,Barcode scanning for items,0.0385103320220877
llama31_8b,gemma3_4b,Manage shopping cart,0.09052544425300173
llama31_8b,gemma3_4b,Receive daily promotions,0.02195522103114169
llama31_8b,gemma3_4b,Share photos and videos,0.6762482274697915
llama31_8b,gemma3_4b,Follow users,0.6218923451918594
llama31_8b,gemma3_4b,Post content updates,0.6108736217065828
llama31_8b,gemma3_4b,Share content on social networks,0.45059847177484613
llama31_8b,gemma3_4b,Discover new people,0.22700226682871885
llama31_8b,gemma3_4b,Comment on posts,0.6546808140922802
llama31_8b,gemma3_4b,Receive push notifications,0.43174513266311343
llama31_8b,gemma3_4b,File management,0.012322250290471161
llama31_8b,gemma3_4b,Search with suggestions,0.055199503517665054
llama31_8b,gemma3_4b,Book taxis,0.5445556272737196
llama31_8b,gemma3_4b,Track taxi location,0.25394399152546226
llama31_8b,gemma3_4b,Calculate fares,0.3825516678705599
llama31_8b,gemma3_4b,Share media,0.03405751880073456
