App,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
YouCam Video,0,0,0,0,0,0,1,0,0,0
Adobe Photoshop,1,2,1,1,1,0,3,1,1,2
Luminar Neo,2,1,2,2,2,0,5,2,2,1
Quso.ai,0,0,0,0,0,0,2,0,0,0
YouCam Enhance,19,0,0,7,0,1,11,0,0,0
YouCam Perfect,0,0,0,8,0,2,0,0,0,0
Canva,3,3,3,3,3,0,20,3,3,3
Pixelup,0,0,0,0,0,4,0,0,0,0
Meitu,0,0,0,0,0,0,4,0,0,0
Pixlr,4,4,4,4,4,0,15,4,4,5
DZINE.AI,0,0,5,0,0,0,0,0,0,0
PixelCut,0,0,0,0,0,5,0,0,0,0
Lensa,5,0,0,20,5,0,0,5,0,0
Picsart,0,0,0,0,0,0,0,16,0,4
Remini,11,6,0,0,10,3,7,0,10,8
Photoshop Express,7,0,0,0,0,0,0,0,0,0
Aftershoot Edits,0,0,7,0,0,0,0,0,0,0
PicsArt,6,8,0,5,18,18,6,0,6,0
Lensa AI,0,5,0,0,0,17,18,0,5,7
Adobe Lightroom,0,0,6,0,0,0,0,0,11,0
Fotor,10,0,0,6,0,0,0,0,9,0
Filmora,0,10,0,9,0,6,0,0,0,0
PhotoRoom,8,0,0,0,0,0,0,0,0,0
Fotor Photo Editor,0,7,0,0,0,0,0,17,0,6
InVideo AI,0,0,0,0,0,0,8,10,0,0
Corel Paintshop Pro,0,0,9,0,0,0,0,0,0,0
Capsule,0,0,0,0,0,9,0,9,0,0
Runway ML,0,0,0,0,0,0,9,0,0,0
YouCam Makeup,0,0,0,0,0,0,0,0,0,9
Photoroom,0,0,0,0,0,0,14,0,7,0
Wondershare Filmora,13,0,0,0,6,0,0,8,13,14
Runway,0,11,0,12,14,7,0,6,16,0
Radiant,0,0,10,0,0,0,0,0,0,0
Invideo AI,14,13,0,0,7,10,0,0,15,11
Imagen,0,0,11,0,0,0,0,0,0,0
Topaz Labs,0,0,0,0,11,0,0,0,0,0
Peech,0,0,0,0,0,11,0,11,0,0
Topaz Photo AI,0,0,8,0,0,0,0,19,0,0
PhotoDirector,9,9,0,18,9,15,16,18,8,10
Descript,17,12,18,10,13,8,0,7,14,12
Photoleap,12,0,0,0,0,0,0,0,12,0
CutLabs,0,0,12,0,0,0,0,0,0,0
YouCam AI Pro,0,0,0,0,12,0,0,0,0,0
Filmora AI Video Editor,0,0,0,0,0,0,12,0,0,0
Synthesia,15,0,0,16,0,12,10,12,0,0
2short.ai,0,0,13,0,0,0,0,0,0,0
Vyond,0,0,0,0,0,13,0,13,0,0
Gling,0,18,0,0,8,0,0,0,18,19
Vmaker AI Video Editor,0,0,14,0,0,0,0,0,0,0
Topview.ai,0,0,0,0,0,14,0,0,0,0
Revid.ai,0,0,0,0,0,0,0,14,0,0
Nova A.I.,0,0,15,0,0,0,0,0,0,0
Veed,0,0,0,15,0,0,0,0,0,0
LTX Studio,0,0,0,0,0,0,0,15,0,0
NeuralCam AI Camera,0,0,0,0,0,0,0,0,0,15
Captions AI,0,0,17,13,0,0,0,0,0,17
LightCut,0,14,0,0,0,0,0,0,17,16
RunwayML,16,0,19,0,0,0,0,0,0,13
CapCut,0,0,0,0,0,0,13,20,0,0
Sora,0,15,0,17,0,0,0,0,0,0
Klap,0,0,16,0,0,0,0,0,0,0
Elai.io,0,0,0,0,16,0,0,0,0,0
MyEdit App,0,0,0,0,0,16,0,0,0,0
Opus Clip,0,16,20,11,15,0,0,0,20,20
FireCut,0,17,0,14,17,0,0,0,0,18
Fotor AI,0,0,0,0,0,0,17,0,0,0
Kapwing,18,0,0,0,0,0,0,0,0,0
Pixelate AI,0,19,0,0,0,0,0,0,0,0
Davinici Resolve,0,0,0,19,0,0,0,0,0,0
Photo AI,0,0,0,0,19,0,0,0,0,0
PhontoRoom,0,0,0,0,0,19,0,0,0,0
Adobe Premiere Pro,0,0,0,0,0,0,19,0,0,0
Fire Cut,0,0,0,0,0,0,0,0,19,0
Pika,20,0,0,0,0,0,0,0,0,0
Aivideo,0,20,0,0,0,0,0,0,0,0
Renderforest,0,0,0,0,20,0,0,0,0,0
D-ID,0,0,0,0,0,20,0,0,0,0
