feature,model,jaccard
Access to movies,openai,1.0
Access to podcasts,openai,1.0
Broadcast messages to multiple contacts,openai,0.7666666666666667
Build photo collage,openai,0.9
Collaborate with others,openai,1.0
Go Live,openai,0.8222222222222222
Keeping up with friends,openai,0.6622222222222223
List items for sale,openai,0.6
Photo effects,openai,0.9
Play games,openai,0.13555555555555557
Play playlist on shuffle mode,openai,1.0
Rate movies,openai,0.6799999999999999
Search for offer on item,openai,0.5244444444444444
Send files,openai,0.8
Watch streams,openai,0.48666666666666664
Write notes,openai,0.6066666666666667
Access to movies,mistral,0.7
Access to podcasts,mistral,1.0
Broadcast messages to multiple contacts,mistral,1.0
Build photo collage,mistral,0.7
Collaborate with others,mistral,0.7333333333333333
Go Live,mistral,1.0
Keeping up with friends,mistral,0.7666666666666667
List items for sale,mistral,1.0
Photo effects,mistral,0.6555555555555556
Play games,mistral,0.9
Play playlist on shuffle mode,mistral,1.0
Rate movies,mistral,1.0
Search for offer on item,mistral,1.0
Send files,mistral,0.6844444444444444
Watch streams,mistral,1.0
Write notes,mistral,1.0
Access to movies,gemini,0.8400000000000003
Access to podcasts,gemini,0.5555555555555555
Broadcast messages to multiple contacts,gemini,0.12666666666666665
Build photo collage,gemini,0.2422222222222222
Collaborate with others,gemini,0.6
Go Live,gemini,0.7571428571428571
Keeping up with friends,gemini,0.5866666666666667
List items for sale,gemini,0.7333333333333333
Photo effects,gemini,0.49999999999999994
Play games,gemini,0.08444444444444445
Play playlist on shuffle mode,gemini,0.4583333333333333
Rate movies,gemini,0.8111111111111111
Search for offer on item,gemini,0.22444444444444445
Send files,gemini,0.7666666666666667
Watch streams,gemini,0.3888888888888889
Write notes,gemini,0.4755555555555555
