App,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
Adobe Lightroom,1,1,1,1,1,1,1,1,1,1
Lensa AI,0,0,0,0,0,0,0,2,0,0
VSCO,2,2,6,2,6,6,2,6,2,2
Prisma,3,3,3,3,2,3,3,3,3,3
Lensa,7,6,2,6,4,2,6,0,6,6
PicsArt,4,4,5,4,5,5,4,5,4,4
FaceApp,6,5,4,5,3,4,5,4,5,5
Snapseed,5,8,7,9,0,7,9,7,9,9
Meitu,8,7,9,7,7,9,7,10,7,7
Photoleap,0,9,8,0,0,8,0,0,8,0
BeautyPlus,0,0,0,8,0,10,8,0,0,8
Photolemur,9,0,0,0,8,0,0,0,0,0
Fotor,0,0,0,0,0,0,0,9,0,0
Let's Enhance,0,0,0,0,9,0,0,0,0,0
Pixlr,0,0,10,0,0,0,0,8,10,0
Afterlight,10,10,0,10,0,0,0,0,0,10
DeepArt,0,0,0,0,10,0,0,0,0,0
Photoshop Express,0,0,0,0,0,0,10,0,0,0
