criteria,feature,model,rbo,num_comparisons
Cost,Access to movies,anthropic,0.17380675044890342,50
Cost,Access to movies,gemini,0.6498255208229495,50
Cost,Access to movies,mistral,0.1661027599385958,50
Cost,Access to movies,openai,0.5409538459189691,50
Cost,Access to movies,perplexity,0.2605994731126355,50
Cost,Access to podcasts,anthropic,0.7482069806208923,50
Cost,Access to podcasts,gemini,0.686713875325031,50
Cost,Access to podcasts,mistral,0.864841197475659,50
Cost,Access to podcasts,openai,0.5956403646194398,50
Cost,Access to podcasts,perplexity,0.4970232687516831,50
Cost,Broadcast messages to multiple contacts,anthropic,0.5973726913453217,50
Cost,Broadcast messages to multiple contacts,gemini,0.13535124251005837,50
Cost,Broadcast messages to multiple contacts,mistral,0.764112881571309,50
Cost,Broadcast messages to multiple contacts,openai,0.4018008968469546,50
Cost,Broadcast messages to multiple contacts,perplexity,0.30398333459673765,50
Cost,Build photo collage,anthropic,0.5883994786179964,10
Cost,Build photo collage,gemini,0.413807278155085,50
Cost,Build photo collage,mistral,0.5709798369312256,50
Cost,Build photo collage,openai,0.24148348438354084,50
Cost,Build photo collage,perplexity,0.29081473567541943,50
Cost,Collaborate with others,anthropic,0.7092928570566578,50
Cost,Collaborate with others,gemini,0.7564205589714322,50
Cost,Collaborate with others,mistral,0.8480353559653118,50
Cost,Collaborate with others,openai,0.6633411634120172,50
Cost,Collaborate with others,perplexity,0.44634020044576805,50
Cost,Go Live,anthropic,0.6526179131307938,50
Cost,Go Live,gemini,0.5598014475924958,50
Cost,Go Live,mistral,0.0,50
Cost,Go Live,openai,0.28718639863858114,50
Cost,Go Live,perplexity,0.3082182710903878,50
Cost,Keeping up with friends,anthropic,0.5268419257858973,50
Cost,Keeping up with friends,gemini,0.4510785231596213,50
Cost,Keeping up with friends,mistral,0.7069355249286875,50
Cost,Keeping up with friends,openai,0.6837933520044907,50
Cost,Keeping up with friends,perplexity,0.0,50
Cost,List items for sale,anthropic,0.629074561725718,50
Cost,List items for sale,gemini,0.7447360493986065,50
Cost,List items for sale,mistral,0.7312893176711293,50
Cost,List items for sale,openai,0.7021885477806906,50
Cost,List items for sale,perplexity,0.6825490148003032,50
Cost,Photo effects,anthropic,0.7084378381342477,50
Cost,Photo effects,gemini,0.4868839535504202,50
Cost,Photo effects,mistral,0.721043934304547,50
Cost,Photo effects,openai,0.32357616411111695,50
Cost,Photo effects,perplexity,0.20737444117536202,50
Cost,Play games,anthropic,0.43891621127979236,50
Cost,Play games,gemini,0.2238863111753075,50
Cost,Play games,mistral,0.7418415255285309,50
Cost,Play games,openai,0.0,50
Cost,Play games,perplexity,0.28196969421888063,50
Cost,Play playlist on shuffle mode,anthropic,0.5952831537392144,50
Cost,Play playlist on shuffle mode,gemini,0.40027840498250866,50
Cost,Play playlist on shuffle mode,mistral,0.860468928107382,50
Cost,Play playlist on shuffle mode,openai,0.7834170511280872,50
Cost,Play playlist on shuffle mode,perplexity,0.19000394756268832,50
Cost,Rate movies,anthropic,0.6620700108095154,50
Cost,Rate movies,gemini,0.5620976701512435,50
Cost,Rate movies,mistral,0.6629073561791139,50
Cost,Rate movies,openai,0.37825413353956994,50
Cost,Rate movies,perplexity,0.25130848852193693,50
Cost,Search for offer on item,anthropic,0.6898488391362021,50
Cost,Search for offer on item,gemini,0.37413945581194064,50
Cost,Search for offer on item,mistral,0.8300298262234352,50
Cost,Search for offer on item,openai,0.3965044458085881,50
Cost,Search for offer on item,perplexity,0.43701659837747786,50
Cost,Send files,anthropic,0.29025648722402503,50
Cost,Send files,gemini,0.5873711111981372,50
Cost,Send files,mistral,0.5380959302694108,50
Cost,Send files,openai,0.6559739275242972,50
Cost,Send files,perplexity,0.08899697019899072,50
Cost,Watch streams,anthropic,0.2724617477810053,50
Cost,Watch streams,gemini,0.21428777904657398,50
Cost,Watch streams,mistral,0.4002799114296425,50
Cost,Watch streams,openai,0.17125129725439617,50
Cost,Watch streams,perplexity,0.004942275649391566,50
Cost,Write notes,anthropic,0.4198513701902618,50
Cost,Write notes,gemini,0.7165048459237562,50
Cost,Write notes,mistral,0.7302691274902915,50
Cost,Write notes,openai,0.49752830840280265,50
Cost,Write notes,perplexity,0.5245161362359122,50
Customer Support,Access to movies,anthropic,0.8552485683469427,50
Customer Support,Access to movies,gemini,0.7755829500354312,50
Customer Support,Access to movies,mistral,0.8235506558444512,50
Customer Support,Access to movies,openai,0.45766172813577344,50
Customer Support,Access to movies,perplexity,0.4277589898777275,50
Customer Support,Access to podcasts,anthropic,0.8516058882316428,50
Customer Support,Access to podcasts,gemini,0.5894184975327682,50
Customer Support,Access to podcasts,mistral,0.8124789781702495,50
Customer Support,Access to podcasts,openai,0.3811687111633811,50
Customer Support,Access to podcasts,perplexity,0.5128873165958597,50
Customer Support,Broadcast messages to multiple contacts,anthropic,0.8373529137621702,50
Customer Support,Broadcast messages to multiple contacts,gemini,0.4240641684734697,50
Customer Support,Broadcast messages to multiple contacts,mistral,0.8375079538748996,50
Customer Support,Broadcast messages to multiple contacts,openai,0.4495132883721237,50
Customer Support,Broadcast messages to multiple contacts,perplexity,0.7808657965725726,50
Customer Support,Build photo collage,anthropic,0.6165352563810306,10
Customer Support,Build photo collage,gemini,0.319533408506955,50
Customer Support,Build photo collage,mistral,0.7811865438612219,50
Customer Support,Build photo collage,openai,0.15322082474242749,50
Customer Support,Build photo collage,perplexity,0.30677307142874577,50
Customer Support,Collaborate with others,anthropic,0.8243735716668446,50
Customer Support,Collaborate with others,gemini,0.638468974315236,50
Customer Support,Collaborate with others,mistral,0.8500223275951475,50
Customer Support,Collaborate with others,openai,0.3001568104912959,50
Customer Support,Collaborate with others,perplexity,0.38224944152338497,50
Customer Support,Go Live,anthropic,0.27596484986587944,50
Customer Support,Go Live,gemini,0.3502003781322978,50
Customer Support,Go Live,mistral,0.03306375901018191,50
Customer Support,Go Live,openai,0.4775312660258211,50
Customer Support,Go Live,perplexity,0.10939445594405459,50
Customer Support,Keeping up with friends,anthropic,0.6433918675393318,50
Customer Support,Keeping up with friends,gemini,0.5397885001250574,50
Customer Support,Keeping up with friends,mistral,0.7348615863591196,50
Customer Support,Keeping up with friends,openai,0.7115391605145389,50
Customer Support,Keeping up with friends,perplexity,0.0034073465043406325,50
Customer Support,List items for sale,anthropic,0.584774327383256,50
Customer Support,List items for sale,gemini,0.7157328068572008,50
Customer Support,List items for sale,mistral,0.6063982848858352,50
Customer Support,List items for sale,openai,0.6221595371962405,50
Customer Support,List items for sale,perplexity,0.4354313216603223,50
Customer Support,Photo effects,anthropic,0.6345836112887473,50
Customer Support,Photo effects,gemini,0.46858372443972834,50
Customer Support,Photo effects,mistral,0.7263323242252998,50
Customer Support,Photo effects,openai,0.33186550200419307,50
Customer Support,Photo effects,perplexity,0.07143335469379015,50
Customer Support,Play games,anthropic,0.5603084193408758,50
Customer Support,Play games,gemini,0.17039084997509468,50
Customer Support,Play games,mistral,0.5328227252529122,50
Customer Support,Play games,openai,0.016007021342917104,50
Customer Support,Play games,perplexity,0.23874681871774223,50
Customer Support,Play playlist on shuffle mode,anthropic,0.8634360450304784,50
Customer Support,Play playlist on shuffle mode,gemini,0.32308624229418936,50
Customer Support,Play playlist on shuffle mode,mistral,0.9283597213973988,50
Customer Support,Play playlist on shuffle mode,openai,0.8306766007112789,50
Customer Support,Play playlist on shuffle mode,perplexity,0.16424882061336216,50
Customer Support,Rate movies,anthropic,0.7235126295882026,50
Customer Support,Rate movies,gemini,0.46404137914539595,50
Customer Support,Rate movies,mistral,0.6852123144002747,50
Customer Support,Rate movies,openai,0.3622023114699826,50
Customer Support,Rate movies,perplexity,0.24266636555514762,50
Customer Support,Search for offer on item,anthropic,0.5423596653900395,50
Customer Support,Search for offer on item,gemini,0.3682682037694859,50
Customer Support,Search for offer on item,mistral,0.6518751777177407,50
Customer Support,Search for offer on item,openai,0.3646570458864741,50
Customer Support,Search for offer on item,perplexity,0.4617996080850091,50
Customer Support,Send files,anthropic,0.5217312304505888,50
Customer Support,Send files,gemini,0.6696341833483175,50
Customer Support,Send files,mistral,0.5849604682596199,50
Customer Support,Send files,openai,0.6351509186683328,50
Customer Support,Send files,perplexity,0.15057855656628968,50
Customer Support,Watch streams,anthropic,0.6193434554957293,50
Customer Support,Watch streams,gemini,0.20983900030147418,50
Customer Support,Watch streams,mistral,0.8159168091763779,50
Customer Support,Watch streams,openai,0.2134317525006184,50
Customer Support,Watch streams,perplexity,0.06883295150620822,50
Customer Support,Write notes,anthropic,0.718502757259057,50
Customer Support,Write notes,gemini,0.7899368977052882,50
Customer Support,Write notes,mistral,0.8864379149397652,50
Customer Support,Write notes,openai,0.7510334453527888,50
Customer Support,Write notes,perplexity,0.5564728248329088,50
