App,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
Duolingo,17,1,0,1,1,1,1,1,2,19
Education Copilot,1,11,0,0,0,0,3,5,0,1
Khanmigo (Khan Academy),0,0,0,0,0,2,0,0,0,0
Carnegie Learning,0,0,0,0,0,0,2,0,0,0
ChatGPT,5,0,0,2,2,6,11,0,1,6
Quizlet,0,0,1,4,4,15,0,0,4,0
Gradescope,2,12,2,0,0,0,4,6,0,2
MagicSchool AI,0,0,3,0,0,0,0,0,0,0
Parlay,0,0,0,0,0,0,0,0,0,3
ChatPDF,0,0,4,0,0,0,0,0,0,0
Loora AI,0,0,0,0,0,4,0,0,0,0
Grammarly,3,2,0,11,5,7,5,7,3,5
Khan Academy,15,4,0,3,3,0,0,0,5,17
Lumen5,0,0,5,0,0,0,0,0,0,0
Quizizz,4,13,0,0,0,5,6,4,0,4
Talkpal,19,6,0,0,0,10,15,2,0,0
Squirrel AI,0,0,6,0,0,0,0,0,0,0
Google Gemini,0,0,0,6,6,0,0,0,9,0
Babbel,0,0,0,7,7,3,13,17,8,0
Notion AI,6,0,0,0,0,8,0,0,0,7
Socratic by Google,11,3,0,0,0,0,10,11,6,12
Owlfitt,0,0,7,0,0,0,0,0,0,0
Loora,20,7,0,0,0,0,16,3,13,0
Photomath,0,18,0,5,0,0,0,0,0,0
TED-Ed,0,0,0,0,8,0,0,0,0,0
Wolfram Alpha,8,14,0,8,0,0,7,8,10,9
Otter.ai,9,0,0,13,0,0,8,9,7,10
Udemy,0,0,0,9,0,0,0,0,0,0
Lingvist,0,0,0,0,0,9,0,0,0,0
QuillBot,7,0,0,0,0,0,0,19,0,8
Coursera,16,5,0,0,0,0,0,0,0,18
Eduaide,0,0,10,0,0,0,0,0,0,0
Chegg,0,0,0,10,0,0,0,0,0,0
Elicit,10,0,0,0,0,0,9,10,11,11
EduGPT,0,0,8,0,17,0,0,0,0,0
Nolej AI,0,0,0,0,10,0,0,0,12,0
Almanack,0,0,11,0,0,0,0,0,0,0
MakesYouFluent,0,8,0,0,0,12,17,0,0,0
Caktus AI,12,9,0,0,0,0,0,12,0,13
Exam AI,0,10,0,0,0,0,12,0,0,14
Descript,0,0,12,0,0,0,0,0,0,0
Quillbot,0,0,0,12,0,0,0,0,0,0
Traverse,0,0,0,0,12,0,0,0,0,0
Speechify,0,0,0,14,11,0,0,0,14,0
Curipod,0,0,9,0,0,0,0,14,0,20
HeyHi,0,0,0,16,9,0,0,0,17,0
Pictory,0,0,13,0,0,0,0,0,0,0
Mapify,0,0,0,0,13,0,0,0,0,0
Canva Magic Write,0,0,0,0,0,0,0,13,0,0
Rosetta Stone,0,0,0,0,0,11,14,18,0,0
Todoist,13,0,0,0,0,0,0,0,0,15
Humata AI,0,0,14,0,0,0,0,0,0,0
Albus,0,0,0,0,14,0,0,0,0,0
The Drive AI,0,0,0,0,0,14,0,0,0,0
Trello,14,0,0,0,0,0,0,0,0,16
Bing Chat,0,0,15,0,0,0,0,0,0,0
Nolej,0,0,0,15,0,0,0,0,0,0
Study Portion,0,0,0,0,15,0,0,0,0,0
Eduaide.AI,0,0,0,0,0,0,0,15,0,0
TalkPal,0,0,0,0,0,0,0,0,15,0
Synto,0,16,0,0,0,0,0,0,0,0
Codio,0,0,16,0,0,0,0,0,0,0
Revisely,0,0,0,0,16,0,0,0,0,0
Eklavvya,0,0,0,0,0,16,0,0,0,0
Slidesgo,0,0,0,0,0,0,0,16,0,0
Brilliant,18,15,0,0,0,0,0,0,0,0
Memrise,0,0,0,0,0,0,18,0,16,0
Brisk Teaching,0,17,0,0,0,0,0,0,0,0
Brightspace,0,0,17,0,0,0,0,0,0,0
Mindgrasp,0,0,0,0,0,17,0,0,0,0
Univerbal,0,0,0,19,0,13,0,20,20,0
Tutor AI,0,0,0,17,19,0,0,0,18,0
Absorb Intelligence,0,0,18,0,0,0,0,0,0,0
Replika,0,0,0,0,18,0,0,0,0,0
Osmo,0,0,0,0,0,18,0,0,0,0
Doctrina AI,0,0,0,18,0,0,0,0,19,0
Mainstay,0,19,0,0,0,0,0,0,0,0
Create AI,0,0,19,0,0,0,0,0,0,0
DreamBox Learning,0,0,0,0,0,19,0,0,0,0
Busuu,0,0,0,0,0,0,19,0,0,0
Canva AI Design Generator,0,20,0,0,0,0,0,0,0,0
LearnWorlds,0,0,20,0,0,0,0,0,0,0
Drops,0,0,0,20,0,0,0,0,0,0
Knowji,0,0,0,0,20,0,0,0,0,0
Canva for Education,0,0,0,0,0,20,0,0,0,0
Writely AI,0,0,0,0,0,0,20,0,0,0
