,gpt-5.3-chat-latest,gemini-3-flash-preview,claude-opus-4-6,mistral-large-latest,llama4:scout [key: llama31_8b],gemma3:27b [key: gemma3_4b],qwen3:30b-a3b [key: qwen3_8b],gpt-oss:20b,mistral-small3.1:24b [key: mistral_open],deepseek-r1:8b
gpt-5.3-chat-latest,1.0,0.5739351557261172,0.6022168706903909,0.5578919568124683,0.3664217458278103,0.41404704786710106,0.45088815397334586,0.5303713724682346,0.42187980622868754,0.44982145475033153
gemini-3-flash-preview,0.5739351557261172,1.0,0.5740160280622887,0.5087825794892195,0.322524665684195,0.3826873462064904,0.40223647455477846,0.48756108754998567,0.3830954739507432,0.3820647525172837
claude-opus-4-6,0.6022168706903909,0.5740160280622887,1.0,0.5701226241762202,0.3646267039881822,0.41483279560235864,0.4350916324951106,0.5233357727364524,0.43122377204245166,0.42766674633905494
mistral-large-latest,0.5578919568124683,0.5087825794892195,0.5701226241762202,1.0,0.3787356668349063,0.4016978099222713,0.4275309978027264,0.5205464118808989,0.4459240069190371,0.4187079944350313
llama4:scout [key: llama31_8b],0.3664217458278103,0.322524665684195,0.3646267039881822,0.3787356668349063,1.0,0.3219144421710453,0.35344749436432377,0.3622778531709007,0.35146786518430384,0.345839159052862
gemma3:27b [key: gemma3_4b],0.41404704786710106,0.3826873462064904,0.41483279560235864,0.4016978099222713,0.3219144421710453,1.0,0.37114214628850406,0.39417423031255133,0.3243598888953583,0.3430211908461956
qwen3:30b-a3b [key: qwen3_8b],0.45088815397334586,0.40223647455477846,0.4350916324951106,0.4275309978027264,0.35344749436432377,0.37114214628850406,1.0,0.4521302363065424,0.3972401858354005,0.48679716307659016
gpt-oss:20b,0.5303713724682346,0.48756108754998567,0.5233357727364524,0.5205464118808989,0.3622778531709007,0.39417423031255133,0.4521302363065424,1.0,0.41062725850884524,0.44481097263221747
mistral-small3.1:24b [key: mistral_open],0.42187980622868754,0.3830954739507432,0.43122377204245166,0.4459240069190371,0.35146786518430384,0.3243598888953583,0.3972401858354005,0.41062725850884524,1.0,0.39703177486927976
deepseek-r1:8b,0.44982145475033153,0.3820647525172837,0.42766674633905494,0.4187079944350313,0.345839159052862,0.3430211908461956,0.48679716307659016,0.44481097263221747,0.39703177486927976,1.0
