model,feature,name,description,type,sources
gemini,List items for sale,User Base,"The number of active users on the platform, indicating potential reach.",Integer[*],Various sources mentioning user statistics
gemini,List items for sale,Fees,"Listing fees, commission fees, or transaction fees charged by the app.",Float[*],"App descriptions, Terms of Service"
gemini,List items for sale,Category Focus,"The primary types of items the app is best suited for selling (e.g., clothing, electronics, handmade items).",Text[*],"App descriptions, user reviews"
gemini,List items for sale,Shipping Options,"The shipping methods available for sellers (e.g., prepaid labels, seller-arranged shipping, local pickup).",Text[*],"App descriptions, user reviews"
gemini,List items for sale,Local vs. National Reach,Whether the app primarily focuses on local sales or provides options for nationwide/global shipping.,Text[1],"App descriptions, user reviews"
gemini,List items for sale,User Interface,Ease of use and navigation within the app.,Text[1],"User reviews, app store ratings"
gemini,List items for sale,Safety Features,"Measures taken to ensure secure transactions and user verification (e.g., user ratings, verified profiles, safe meeting spots).",Text[*],"App descriptions, user reviews"
gemini,List items for sale,User Base,"Number of active users on the platform, impacting potential reach.",Integer[*],"SimiCart, Greenlight, Shopify Australia, SaleHoo"
gemini,List items for sale,Fees,"Listing fees, commission fees, and payment processing fees associated with selling on the platform.",Float[*],"SimiCart, Greenlight, Shopify Australia, SaleHoo, Supdropshipping"
gemini,List items for sale,Target Audience,"The specific demographic or interest group the platform caters to (e.g., handmade items, fashion, electronics).",Text[*],"SimiCart, Greenlight, Shopify Australia, SaleHoo, AMZScout"
gemini,List items for sale,Ease of Use,"The simplicity and intuitiveness of the app interface for listing items, managing sales, and communicating with buyers.",Boolean[*],"SimiCart, Greenlight, Shopify Australia, SaleHoo, Crosslist"
gemini,List items for sale,Shipping Options,"The availability of integrated shipping tools, prepaid labels, and options for local pickup or nationwide shipping.",Boolean[*],"SimiCart, Greenlight, Shopify Australia, SaleHoo, Crosslist, Honeygain"
gemini,List items for sale,Seller Tools,"Features and resources provided to sellers, such as analytics, marketing tools, and customer support.",Text[*],"SimiCart, Greenlight, Shopify Australia, SaleHoo, Crosslist, Billo"
gemini,List items for sale,Payment Options,The variety of payment methods accepted and the speed of payouts to sellers.,Text[*],"SimiCart, Greenlight, Shopify Australia, SaleHoo, Mercari"
gemini,List items for sale,Mobile Optimization,"How well the app functions on mobile devices, including listing creation, photo uploads, and order management.",Boolean[*],"SimiCart, Greenlight, Shopify Australia, SaleHoo"
gemini,List items for sale,Customer Support,"The quality and availability of customer support for sellers, including response times and issue resolution.",Text[*],"SimiCart, Greenlight, Shopify Australia, SaleHoo"
gemini,List items for sale,Safety and Security,"Measures taken to ensure safe transactions, verified user profiles, and protection against scams.",Boolean[*],"SimiCart, Greenlight, Shopify Australia, SaleHoo"
gemini,List items for sale,User Base,"The number of active users on the platform, indicating potential reach.",Integer[*],Multiple
gemini,List items for sale,Fees,"Listing fees, commission fees, or transaction fees associated with selling on the platform.",Float[*],Multiple
gemini,List items for sale,Product Category Focus,"The primary types of items that are commonly sold on the app (e.g., clothing, electronics, handmade items).",Text[*],Multiple
gemini,List items for sale,Shipping Options,"The availability of prepaid shipping labels, integrated shipping services, or options for local pickup.",Boolean[*],Multiple
gemini,List items for sale,Target Audience,Demographics and interests of the app's primary user base.,Text[*],Multiple
gemini,List items for sale,User Base,Number of active users on the platform. A larger user base increases the likelihood of a sale.,Integer[*],Multiple sources
gemini,List items for sale,Fees,"Listing fees, commission fees, and payment processing fees charged by the app.",Float[*],Multiple sources
gemini,List items for sale,Target Audience,"The specific demographic or type of buyer that the app caters to (e.g., fashion enthusiasts, collectors, local buyers).",Text[*],Multiple sources
gemini,List items for sale,Ease of Use,"The simplicity and intuitiveness of the app's interface for listing items, managing inventory, and communicating with buyers.",Text[1],Multiple sources
