name,description,type,sources
Active User Base,Refers to the number of monthly active users on the platform. A larger user base increases the likelihood of connecting with more friends.,"Integer, [1]","AgileTech Vietnam, AppFigures, Company Reports, Doofinder, SOAX, Sensor Tower, Statista"
Active Users,Number of active users on the platform; a higher number suggests a larger pool of friends to connect with.,Integer[*],"AgileTech Vietnam, Buffer, Exploding Topics, SOAX, Various sources like Statista, and news articles, company reports"
Communication Features,"The variety of communication methods available, such as text messaging, voice calls, video calls, and group chats.",Text[*],"AgileTech Vietnam, App Store, App Store descriptions, Croma Unboxed, Expert reviews, Firefly, Firefly - Sunrise Medical, Google Play Store, Google Play Store descriptions, Lake Travis Community Library, Mashable, Oberlo, Sterling College, Sunday Edit, Wise"
Content Sharing Options,"Variety and ease of sharing different types of content (photos, videos, links, music) influencing user engagement.",Text [*],"AgileTech Vietnam, Mashable, Practical Ecommerce, St Christopher's Inns, Symptoms of Living"
Group Communication,"Features that facilitate group chats and calls, making it easier to connect with multiple friends simultaneously.",Boolean [1],"App specifications, Carlcare, Sterling College, Wise, Yabb Messenger, user reviews"
Group Interaction,"Features that facilitate group communication and activities, such as group chats, shared calendars, and collaborative games.  Essential for staying connected with multiple friends at once.",Boolean[1],"Marmalade Trust, The Sociable, Wise"
Group Interaction Capabilities,"Features that facilitate group communication and activities (e.g., group chats, shared calendars, collaborative playlists).","Boolean, [1]","App reviews, Feature lists, Firefly - Sunrise Medical, St Christopher's Inns, Wise"
Integration with Other Platforms,Ability to connect and share content with other social media platforms and services.,"Boolean, [1]","App descriptions, Soonly, User reviews"
Multimedia Sharing,"Ease and variety of sharing multimedia content like photos, videos, and audio messages.",Media[*],"App reviews, Firefly, The Sociable, Yabb Messenger, user feedback"
Privacy and Security,Level of encryption and privacy settings available.,Boolean [1],"Carlcare, Croma Unboxed, Sterling College, Zapier"
Privacy Controls,"Options for managing privacy settings and content visibility, ensuring user comfort and safety.","Boolean, [1]","App description, App settings, Monica, Privacy policy, SOAX, Symptoms of Living"
Real-time Updates,"Ability to provide real-time updates on friends' activities and availability, facilitating spontaneous interactions.",Boolean,"App features, Elite Daily, Howbout, Symptoms of Living, user reviews"
Unique Features,"Distinctive functionalities like built-in games, location sharing, or audio-first communication that set the app apart.",Text [*],"Beyond Instagram & Snapchat, ElderHub, Hootsuite Blog, MakeUseOf, Mashable, Medicinal Media, Practical Ecommerce, St Christopher's Inns, Symptoms of Living, The Sociable"
User Base,Number of active users on the platform.,Integer [1],"AgileTech Vietnam, Hootsuite Blog, Oberlo, Sensor Tower"
