App,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
Xbox Cloud Gaming,0,1,1,0,0,1,1,0,0,0
Game Launcher - Booster & Screen Recorder,5,0,0,0,0,0,0,1,1,1
Google Play Games,1,0,0,6,1,0,0,16,0,0
Steam,0,0,0,2,0,0,0,0,0,0
Games Launcherâ€”Booster & Screen Recorder,0,0,0,0,2,0,0,0,0,0
Game Booster 4x Faster Free - GFX Tool Bug Lag Fix,0,0,0,0,0,0,0,0,0,2
Amazon Luna,0,2,2,0,0,2,2,20,0,0
Epic Games Store,0,0,0,1,0,0,0,15,0,20
Nvidia GeForce Now,0,3,3,0,0,3,0,0,0,0
Games Launcherâ€”Game Booster 4x,0,0,0,0,3,0,0,0,0,0
GeForce Now,0,0,0,0,0,0,3,0,0,0
Game Booster - Speed Up and Livestream Games,7,0,0,0,0,0,0,4,3,3
PlayStation Plus Premium,0,4,4,0,0,4,0,0,0,0
Game Boosterâ€”Speed Up and Livestream Games,0,0,0,0,4,0,0,0,0,0
Game Booster 4x Faster Pro,12,0,0,0,20,0,0,2,2,6
Xbox App,2,0,0,3,0,0,0,7,13,12
Game Booster | Play Games Faster & Smoother,8,0,0,0,5,0,0,0,4,4
Google Stadia,0,5,5,0,0,5,0,0,0,0
Nintendo Switch Online,0,0,0,5,0,0,0,0,0,0
Gaming Mode - Game Booster PRO,11,0,0,0,0,0,0,3,5,7
Game Booster 4x Faster,6,0,0,0,0,0,0,0,0,0
Daijisho,0,0,0,0,6,0,0,0,7,0
Boosteroid,0,9,7,0,0,9,4,0,0,0
NVIDIA GeForce NOW,4,0,0,0,0,0,0,18,0,0
PlayStation App,0,0,0,4,0,0,0,19,0,0
GameDeck,9,0,0,0,8,0,0,5,9,5
Parsec,0,7,8,0,0,8,5,0,0,0
Steam Link,3,6,9,0,0,11,8,17,0,0
Apple Arcade,0,0,0,7,0,0,0,0,0,0
DIG,0,0,0,0,7,0,0,0,0,0
Razer PC Remote Play,0,0,0,0,0,0,7,0,0,0
Shadow,0,8,6,0,0,6,11,0,0,0
Console Launcher,10,0,0,0,9,0,0,6,10,6
GOG Galaxy,0,0,0,8,0,0,0,0,0,0
Battle.net App,0,0,0,0,0,0,0,8,0,0
DIG - Game and Emulator Front-End,0,0,0,0,0,0,0,0,8,0
Antstream Arcade,0,14,0,0,0,10,6,0,0,0
Battle.net,0,0,0,9,0,0,0,0,0,0
PlayStation Remote Play,0,0,0,0,0,0,9,0,0,0
BGN Mobi Game Booster,0,0,0,0,0,0,0,0,0,9
Vortex,0,10,12,0,0,7,12,0,0,0
Origin,0,0,0,10,0,0,0,0,0,0
Nvidia Shield TV,0,0,0,0,0,0,10,0,0,0
G19 Mobile Game Booster 4x,0,0,0,0,0,0,0,0,0,10
The Arcade,0,0,0,0,10,0,0,0,11,0
Ubisoft Connect,0,0,0,11,0,0,0,0,0,0
The N Apps Studio Game Booster,0,0,0,0,0,0,0,0,0,11
Revo Launcher,0,0,0,0,11,0,0,0,12,0
Rainway,0,11,10,0,0,12,15,0,0,0
Itch.io,0,0,0,12,0,0,0,0,0,0
Xbox Game Pass,0,0,0,0,12,0,0,0,0,0
Moonlight,0,12,11,0,0,13,16,0,0,0
Super S22 Launcher,13,0,0,0,0,0,0,0,0,0
Discord,0,0,0,13,0,0,0,0,0,0
JoyArk Cloud Gaming,0,0,0,0,13,0,0,0,0,0
Blacknut,0,13,13,0,0,16,13,0,0,0
Blacknut Cloud Gaming,15,0,0,19,14,0,0,9,14,18
Game Launcher: Booster Cleaner,14,0,0,0,0,0,0,0,0,0
Twitch,0,0,0,14,0,0,0,0,0,0
Fancade,17,0,0,17,0,0,0,11,16,16
Game Jolt,0,0,0,15,0,0,0,0,0,0
Cloud Gaming Zone,16,0,0,20,15,0,0,10,15,19
Sega Forever,0,0,0,0,0,0,0,14,20,13
Playkey,0,15,15,0,0,18,14,0,0,0
Spaceteam,18,0,0,18,0,0,0,12,18,15
Paperspace,0,16,14,0,0,17,17,0,0,0
Gloud,0,0,0,0,16,0,0,0,0,0
Remotr,0,19,17,0,0,14,0,0,0,0
LiquidSky,0,17,16,0,0,15,18,0,0,0
Ludo King,20,0,0,16,0,0,0,0,17,14
GamePigeon,19,0,0,0,0,0,0,13,19,17
Netboom,0,0,0,0,17,0,0,0,0,0
Game Boosterâ€”One Tap Launcher,0,0,0,0,18,0,0,0,0,0
GameStream,0,18,18,0,0,19,0,0,0,0
Gaming Modeâ€”Game Booster PRO,0,0,0,0,19,0,0,0,0,0
NetBoom,0,20,19,0,0,0,19,0,0,0
Gloud Games,0,0,20,0,0,0,0,0,0,0
Loudplay,0,0,0,0,0,20,0,0,0,0
Stadia,0,0,0,0,0,0,20,0,0,0
