App,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
Twitch,1,1,1,1,1,1,1,1,1,1
YouTube Gaming,2,0,0,0,0,2,0,0,0,0
YouTube Live,0,2,2,2,2,0,2,2,0,2
YouTube,0,0,0,0,0,0,0,0,2,0
Facebook Gaming,0,0,0,3,3,4,0,0,0,0
Kick,13,0,0,4,4,3,3,0,3,0
Rumble,0,0,0,0,0,0,4,0,4,0
Facebook Live,0,3,3,0,0,0,7,5,0,20
Hulu + Live TV,3,0,0,19,0,0,0,0,0,0
Instagram Live,0,4,4,15,0,5,6,0,0,0
Trovo,0,0,0,5,5,9,0,0,0,0
DirecTV Stream,6,0,0,0,0,0,0,0,0,0
TikTok LIVE,0,0,0,0,0,6,0,0,0,0
YouTube TV,0,0,0,0,0,0,0,0,6,0
Sling TV,4,0,19,0,0,0,0,0,0,0
DLive,0,0,0,6,6,8,11,0,5,0
Philo,7,0,0,0,0,0,0,0,0,0
BIGO LIVE,0,0,0,0,0,7,0,0,0,0
Bigo Live,0,6,6,16,14,0,8,3,0,18
TikTok Live,14,5,5,14,15,0,5,4,0,19
Netflix,10,9,11,0,19,0,20,6,7,3
Fubo,5,0,20,0,0,0,0,0,0,0
Disney+,11,11,13,0,0,0,0,8,11,4
Nimo TV,0,0,0,7,8,11,0,0,0,0
Hulu,0,10,12,0,20,0,0,7,8,5
Streamlabs,0,0,9,0,0,0,0,0,0,0
Smashcast,0,0,0,9,9,0,0,0,0,0
Vimeo Livestream,0,0,0,8,7,0,19,0,0,0
Amazon Prime Video,12,12,14,0,0,0,0,9,9,6
Wirecast Go,0,0,10,0,0,0,0,0,0,0
Steam Broadcasting,0,0,0,10,10,0,0,0,0,0
Vimeo,0,0,0,0,0,10,0,0,0,0
Peacock,8,13,15,0,0,0,0,10,12,7
YouNow,0,7,7,0,12,17,9,0,20,16
Dacast,0,0,0,11,11,0,0,0,0,0
LiveMe,0,8,8,0,13,18,10,0,0,17
Paramount+,9,14,16,0,0,0,0,11,13,8
Max,0,0,18,0,0,0,0,0,10,10
Omlet Arcade,0,0,0,0,0,12,0,0,0,0
Vaughn Live,0,0,0,0,0,0,12,0,0,0
Apple TV+,0,15,17,0,0,0,0,12,14,9
BOOYAH!,0,0,0,0,0,13,0,0,0,0
Nonolive,0,0,0,0,0,0,13,0,0,0
Sling FreeStream,0,0,0,0,0,0,0,0,0,13
REALITY,0,0,0,0,0,14,0,0,0,0
StreamKar,0,0,0,0,0,0,14,0,0,0
Fawesome,0,0,0,0,0,0,0,14,0,0
Crackle,0,16,0,0,0,0,0,13,0,14
OBS Studio,0,0,0,13,17,0,0,0,0,0
Pluto TV,0,18,0,0,0,0,0,16,17,11
DAZN,15,0,0,0,0,0,0,0,0,0
Glip,0,0,0,0,0,15,0,0,0,0
PALTALK,0,0,0,0,0,0,15,0,0,0
Crunchyroll,0,0,0,0,0,0,0,0,15,0
Restream,0,0,0,12,16,20,0,0,0,0
Tubi,18,17,0,0,0,0,0,19,16,12
FloSports,16,0,0,0,0,0,0,0,0,0
Loco,0,0,0,0,0,16,0,0,0,0
"Periscope (archived, but some content remains)",0,0,0,0,0,0,16,0,0,0
Freevee,0,0,0,0,0,0,0,15,19,15
ESPN+,17,0,0,0,0,0,0,0,0,0
Caffeine,0,0,0,17,0,0,0,0,0,0
"Houseparty (acquired by Epic Games, some features integrated)",0,0,0,0,0,0,17,0,0,0
Redbox,0,0,0,0,0,0,0,17,0,0
Discord (screen sharing for friends),0,0,0,0,0,0,18,0,0,0
Sling Freestream,0,0,0,0,0,0,0,18,18,0
Plex,19,20,0,18,18,0,0,0,0,0
Lumia Stream,0,0,0,0,0,19,0,0,0,0
Xumo,0,19,0,0,0,0,0,20,0,0
XUMO,20,0,0,0,0,0,0,0,0,0
Fubo TV,0,0,0,20,0,0,0,0,0,0
