App,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
WhatsApp,1,2,1,1,1,1,1,1,1,2
Facebook Messenger,2,4,2,2,2,2,2,2,2,4
Signal,3,1,3,3,3,5,3,3,5,1
Instagram,0,5,0,0,0,3,0,0,3,0
Telegram,4,3,4,4,4,6,4,4,6,3
Snapchat,0,6,0,0,0,4,0,0,4,0
Discord,5,9,5,5,5,7,5,5,7,5
Houseparty,6,8,7,6,6,8,6,6,8,6
BeReal,7,7,8,7,7,9,7,7,9,7
Marco Polo,8,0,0,0,8,0,0,0,10,0
Slack,0,10,6,0,0,0,0,19,0,0
Bumble for Friends,0,0,10,0,0,11,9,9,0,9
Hey! VINA,0,0,11,0,0,12,10,10,0,10
Nextdoor,16,13,9,17,17,10,8,8,18,8
Wink,0,0,12,0,0,13,11,11,0,11
Life360,9,12,15,8,9,16,16,14,15,0
Band,10,11,14,9,10,15,15,13,16,13
Slowly,11,0,16,10,11,14,12,15,14,14
Cloze,0,0,0,0,13,0,0,0,0,0
Garden,12,16,17,11,12,17,13,16,13,15
LokLok,0,0,0,12,0,0,14,17,0,16
Atleto,17,0,13,16,16,0,0,12,19,12
Cappuccino,13,17,0,13,0,18,19,0,11,17
Locket Widget,14,18,18,14,14,19,20,0,12,18
Co-Star,15,0,0,15,15,20,0,0,0,19
Cozi,0,14,19,0,0,0,18,18,0,0
Splitwise,20,15,20,0,0,0,17,20,17,20
JQBX,18,0,0,0,19,0,0,0,0,0
Yubo,0,0,0,18,18,0,0,0,20,0
Netflix Party,19,19,0,19,20,0,0,0,0,0
Words with Friends,0,20,0,20,0,0,0,0,0,0
