family,model,provider,mode,k,feature,run,name,description,type,sources,cluster_id,cluster_size,selection_method,centroid_distance,connectivity_score,silhouette_score
proprietary,openai,openai,structured,20,Collaborate with others,2,Ease of Use,How intuitive and user-friendly the interface is for new and experienced users,,,0,66,aggregated_voting,0.43495383858680725,0.7167807817459106,0.11537595838308334
proprietary,openai,openai,structured,20,Watch streams,5,User Engagement Features,"Interactive capabilities such as chat, reactions, live comments, and community tools that enhance viewer participation",,,1,55,aggregated_voting,0.3984334468841553,0.7535194158554077,0.25262582302093506
proprietary,mistral,mistral,structured,20,Go Live,6,Ease of Use,"The ease with which users can start and manage a live stream, including setup time, user interface, and cross-platform compatibility.",,,2,27,aggregated_voting,0.5937080383300781,0.5895940065383911,0.06712980568408966
proprietary,anthropic,anthropic,structured,20,Send files,6,Security and Encryption,"The strength and implementation of encryption protocols used during file transmission and storage, including end-to-end encryption, password protection, and data privacy safeguards.",,,3,39,aggregated_voting,0.3943242132663727,0.7808894515037537,0.15048682689666748
proprietary,mistral,mistral,structured,20,Watch streams,7,Active User Base,"The number of active users and viewers on the platform, indicating its popularity and reach.",,,4,54,aggregated_voting,0.3766366243362427,0.7657120227813721,0.1523895263671875
proprietary,mistral,mistral,structured,20,Search for offer on item,3,App Performance and Stability,"The app's performance in terms of speed, reliability, and minimal crashes or bugs during use.",,,5,87,aggregated_voting,0.30582311749458313,0.8083495497703552,0.35187071561813354
proprietary,openai,openai,structured,20,Send files,1,Cross-Platform Compatibility,The ability of the app to function seamlessly across different operating systems and device types,,,6,61,aggregated_voting,0.39628422260284424,0.7726582884788513,0.014949201606214046
proprietary,mistral,mistral,structured,20,Collaborate with others,4,Update Frequency and Innovation,"The frequency and impact of updates, including new features, bug fixes, and performance improvements, to ensure the app remains current and reliable.",,,7,62,aggregated_voting,0.29152578115463257,0.8328573107719421,0.38748282194137573
proprietary,anthropic,anthropic,structured,20,Play games,8,Monetization Fairness,"The balance between free-to-play accessibility and in-app purchases, ensuring the app does not create pay-to-win dynamics or overly aggressive monetization.",,,8,29,aggregated_voting,0.3980284333229065,0.7500452399253845,0.1777612566947937
proprietary,anthropic,anthropic,structured,20,Play games,5,User Base & Popularity,"The total number of active users and downloads the app has accumulated, reflecting its widespread adoption and market presence.",,,9,46,aggregated_voting,0.432896226644516,0.752750813961029,0.18424482643604279
proprietary,gemini,gemini,structured,20,Access to movies,2,Content Catalog Depth,The total volume and diversity of titles available for consumption within the platform's library.,,,10,41,aggregated_voting,0.4512118101119995,0.6917572617530823,0.10115841776132584
proprietary,mistral,mistral,structured,20,Access to podcasts,1,Community and Social Features,"The presence and quality of community features such as reviews, ratings, comments, or social sharing to foster engagement.",,,11,45,aggregated_voting,0.39409878849983215,0.7762177586555481,0.2689294219017029
proprietary,anthropic,anthropic,structured,20,Access to movies,8,User Interface and Experience,"The intuitiveness, design quality, and ease of navigation within the app, including content discovery, search functionality, and personalized recommendations.",,,12,69,aggregated_voting,0.2801092863082886,0.8205951452255249,0.2557319700717926
proprietary,openai,openai,structured,20,Access to movies,0,Global Availability,Extent to which the app is accessible and functional across different countries and regions,,,13,19,aggregated_voting,0.4046235978603363,0.7368114590644836,0.1689678132534027
proprietary,openai,openai,structured,20,Watch streams,2,Content Variety,Breadth and diversity of available live or on-demand streaming content across categories and genres,,,14,23,aggregated_voting,0.5357109904289246,0.6308491826057434,0.11695066839456558
proprietary,openai,openai,structured,20,Send files,5,Reliability,"Consistency of successful transfers without crashes, interruptions, or data corruption",,,15,26,aggregated_voting,0.5271565318107605,0.6331061124801636,0.23944678902626038
proprietary,openai,openai,structured,20,Write notes,7,Offline Functionality,"Ability to create, edit, and access content without an internet connection",,,16,24,aggregated_voting,0.45907357335090637,0.7281182408332825,0.31627270579338074
proprietary,openai,openai,structured,20,Broadcast messages to multiple contacts,0,Cross-Platform Availability,Availability and consistency across different operating systems and devices,,,17,32,aggregated_voting,0.2734067142009735,0.8831039667129517,0.37185990810394287
proprietary,mistral,mistral,structured,20,Rate movies,5,Cross-Platform Availability,"The availability of the app across multiple platforms (e.g., iOS, Android, web) and devices.",,,18,72,aggregated_voting,0.2580764889717102,0.8765742182731628,0.20961514115333557
proprietary,mistral,mistral,structured,20,Watch streams,7,Discoverability,"The ease of discovering new streams and content through recommendations, search, and trending sections.",,,19,23,aggregated_voting,0.4160746932029724,0.7265496253967285,0.271377831697464
proprietary,openai,openai,structured,20,Broadcast messages to multiple contacts,5,Ease of Use,Simplicity and intuitiveness of initiating and managing broadcast messages,,,20,18,aggregated_voting,0.40132439136505127,0.772481381893158,0.3230307698249817
proprietary,mistral,mistral,structured,20,Write notes,5,Customization Options,"The level of customization available to users, including themes, note templates, folder organization, and personalization of the user interface.",,,21,17,aggregated_voting,0.5155078768730164,0.6764650344848633,0.20796824991703033
proprietary,openai,openai,structured,20,Photo effects,4,Feature Depth,Breadth and sophistication of tools and effects available to users,,,22,20,aggregated_voting,0.46153584122657776,0.7288397550582886,0.28848111629486084
proprietary,mistral,mistral,structured,20,Watch streams,1,Monthly Active Users (MAU),"The number of active monthly users, indicating the app's popularity and reach for streaming content.",,,23,31,aggregated_voting,0.31260189414024353,0.8624042868614197,0.4582503139972687
proprietary,anthropic,anthropic,structured,20,Access to podcasts,2,Cross-Platform Availability & Sync,"The app's availability across multiple devices and operating systems, and its ability to seamlessly synchronize user progress, subscriptions, and preferences across them.",,,24,36,aggregated_voting,0.2494075894355774,0.8915407657623291,0.2705952823162079
proprietary,mistral,mistral,structured,20,Play playlist on shuffle mode,6,Performance and Efficiency,"The app's performance in terms of stability, battery efficiency, and resource usage while shuffling playlists, especially for large libraries or offline playback.",,,25,30,aggregated_voting,0.49984249472618103,0.6604110598564148,0.10453512519598007
proprietary,anthropic,anthropic,structured,20,Access to podcasts,0,Free vs. Premium Value Proposition,"The balance between features available for free and those locked behind a paywall, and the overall value provided at each pricing tier.",,,26,24,aggregated_voting,0.45488888025283813,0.7333796620368958,0.17481794953346252
proprietary,openai,openai,structured,20,Collaborate with others,5,Integration Ecosystem,Ability to connect with third-party apps and services to extend collaborative workflows,,,27,26,aggregated_voting,0.38514891266822815,0.7762635946273804,0.27743592858314514
proprietary,mistral,mistral,structured,20,Collaborate with others,9,User Experience and Accessibility,"The overall user experience, including ease of use, customization options, and accessibility across devices and platforms.",,,28,24,aggregated_voting,0.3549472987651825,0.7931711077690125,0.15828730165958405
proprietary,anthropic,anthropic,structured,20,Photo effects,9,Output Quality and Export Options,"The resolution and fidelity of the final processed image, along with the flexibility of export formats, sharing options, and resolution settings.",,,29,31,aggregated_voting,0.3898266851902008,0.7886173725128174,0.360128790140152
proprietary,openai,openai,structured,20,Write notes,0,Security and Privacy,"Measures in place to protect user data, including encryption and privacy controls",,,30,38,aggregated_voting,0.35520973801612854,0.8165023922920227,0.2953684329986572
proprietary,mistral,mistral,structured,20,Rate movies,0,Personalization Features,"The availability of personalized recommendations based on user ratings, watch history, or preferences.",,,31,29,aggregated_voting,0.3590644299983978,0.7994261980056763,0.3719989061355591
