App,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
Adidas Running,10,0,0,0,0,0,9,0,0,0
Endomondo,4,4,6,5,7,5,6,6,6,5
Fitbit,7,8,0,0,6,8,0,8,0,0
Garmin Connect,8,9,0,9,0,0,0,0,0,7
Google Fit,0,0,0,0,9,9,0,10,9,0
Komoot,0,0,0,8,0,0,0,0,0,0
Map My Run,5,3,4,4,4,2,3,7,5,4
MyFitnessPal,0,5,3,0,3,7,8,3,3,10
Nike Run Club,3,2,2,2,2,3,2,1,2,2
Pacer,0,0,8,0,0,0,7,9,10,0
Polar Flow,0,0,0,10,0,0,0,0,0,8
Pumatrac,9,0,0,0,0,0,0,0,0,0
Runkeeper,2,7,5,3,5,6,5,4,4,3
Runtastic,6,6,7,6,8,4,4,5,7,6
Samsung Health,0,0,0,0,0,10,0,0,8,0
Sports Tracker,0,0,9,0,0,0,0,0,0,0
Strava,1,1,1,1,1,1,1,2,1,1
Under Armour Record,0,10,0,0,0,0,0,0,0,0
"Zombies, Run!",0,0,0,0,10,0,0,0,0,0
Zwift,0,0,10,7,0,0,10,0,0,9
