name,description,type,sources
Content Updates,Frequency and quality of content updates and new features.,Text [1],"App release notes, developer blogs, community forums"
Content Updates,Frequency and quality of content updates and new features.,Text [1],"App Store descriptions, Official app blogs, Social media channels"
Graphic Quality,The quality and realism of the graphics in the game.,Text [1],"Expert reviews, user reviews, gaming websites"
In-App Purchases,Revenue generated from in-app purchases.,Float [1],"App Annie, Sensor Tower, Google Play Store"
In-App Purchases,The availability and variety of in-app purchases for enhanced gameplay.,Boolean [1],"Google Play Store, Apple App Store, Amazon Appstore"
In-App Purchases,The availability and variety of in-app purchases.,Boolean [1],"Google Play Store, Apple App Store"
In-App Purchases,Revenue generated from in-app purchases.,Float [1],"App Annie, Sensor Tower, Google Play Store"
In-App Purchases,The availability and variety of in-app purchases.,Boolean [1],"Google Play Store, Apple App Store"
In-App Purchases,The availability and variety of in-app purchases.,"Boolean [1], Text [*]","Google Play Store, Apple App Store, Amazon Appstore"
In-App Purchases,The availability and variety of in-app purchases.,Boolean [1],"Google Play Store, Apple App Store"
In-App Purchases,The availability and variety of in-app purchases.,Boolean [1],"Google Play Store, Apple App Store"
Multiplayer Features,The availability and quality of multiplayer modes.,Text [1],"Official app descriptions, user reviews"
Multiplayer Features,The presence and quality of multiplayer modes.,Text [1],"Official app descriptions, user reviews"
Number of Downloads,Total number of times the app has been downloaded.,Integer [1],"Google Play Store, Apple App Store, Amazon Appstore, Sensor Tower"
Number of Downloads,The total number of times the app has been downloaded.,Integer [1],"Google Play Store, Apple App Store, Amazon Appstore, Sensor Tower"
Number of Downloads,The total number of times the app has been downloaded.,Integer [1],"Google Play Store, Apple App Store, Amazon Appstore, Sensor Tower"
Number of Downloads,Total number of times the app has been downloaded.,Integer [1],"Google Play Store, Apple App Store, Amazon Appstore, Sensor Tower"
Number of Downloads,The total number of times the app has been downloaded.,Integer [1],"Google Play Store, Apple App Store, Amazon Appstore"
Number of Downloads,The total number of times the app has been downloaded.,Integer [1],"Google Play Store, Apple App Store, Amazon Appstore, Sensor Tower"
Number of Downloads,The total number of times the app has been downloaded.,Integer [1],"Google Play Store, Apple App Store, Amazon Appstore, Sensor Tower"
Number of Downloads,The total number of times the app has been downloaded.,Integer [1],"Google Play Store, Apple App Store, Amazon Appstore, Sensor Tower"
Number of Downloads,The total number of times the app has been downloaded.,Integer [1],"Google Play Store, Apple App Store, Amazon Appstore, Sensor Tower"
Number of Downloads,The total number of times the app has been downloaded.,Integer [1],"Google Play Store, Apple App Store, Amazon Appstore, Sensor Tower"
Regular Updates,Frequency of updates and new content releases.,Text [1],"Google Play Store, Apple App Store, Amazon Appstore, App Annie"
Regular Updates,Frequency of updates and new content releases.,Float [1],"Google Play Store, Apple App Store, official app websites"
Revenue Generation,The total revenue generated by the app through in-app purchases and ads.,Float [1],"Sensor Tower, App Annie, Priori Data"
Revenue Generation,The total revenue generated by the app through in-app purchases and ads.,Float [1],"App Annie, Sensor Tower, Priori Data"
Update Frequency,Frequency of app updates and new content releases.,Text [1],"Google Play Store, Apple App Store, Amazon Appstore"
Update Frequency,"Frequency of app updates, indicating ongoing development and support.",Text [1],"Google Play Store, Apple App Store"
Update Frequency,The frequency at which the app is updated with new content or features.,Text [1],"Google Play Store, Apple App Store, App Annie"
Update Frequency,The frequency at which the app is updated with new features and bug fixes.,Text [1],"Google Play Store, Apple App Store, Amazon Appstore"
User Engagement,Average time spent by users on the app per day.,Float [1],"App Annie, Sensor Tower, Google Play Store"
User Engagement,The average time users spend on the app per day.,Float [1],"App Annie, Sensor Tower, SimilarWeb"
User Engagement,The average time users spend on the app daily.,Float [1],"App Annie, Sensor Tower, Google Play Store"
User Engagement,Average time users spend on the app per day.,Float [1],"App Annie, Sensor Tower, Google Play Store"
User Engagement,The average time users spend on the app per day.,Float [1],"App Annie, Sensor Tower"
User Engagement,The average time users spend on the app daily.,Float [1],"App Annie, Sensor Tower, SimilarWeb"
User Engagement,The average time users spend on the app per day.,Float [1],"App Annie, SimilarWeb, Google Play Store, Apple App Store"
User Engagement,The average time users spend on the app per day.,Float [1],"App Annie, Sensor Tower, Google Play Store"
User Engagement,The average time users spend on the app per day.,Float [1],"App Annie, Sensor Tower, SimilarWeb"
User Engagement,The average time users spend on the app per day.,Float [1],"App Annie, Sensor Tower, Google Play Store"
User Ratings,Average rating given by users on app stores.,Float [1],"Google Play Store, Apple App Store, Amazon Appstore"
User Ratings,The average rating given by users on various app stores.,Float [1],"Google Play Store, Apple App Store, Amazon Appstore"
User Ratings,The average rating given by users on app stores.,Float [1],"Google Play Store, Apple App Store, Amazon Appstore"
User Ratings,Average rating given by users on various app stores.,Float [1],"Google Play Store, Apple App Store, Amazon Appstore"
User Ratings,The average rating given by users on various app stores.,Float [1],"Google Play Store, Apple App Store, Amazon Appstore"
User Ratings,The average rating given by users on app stores.,Float [1],"Google Play Store, Apple App Store, Amazon Appstore"
User Ratings,The average rating given by users on app stores.,Float [1],"Google Play Store, Apple App Store, Amazon Appstore"
User Ratings,The average rating given by users on various app stores.,Float [1],"Google Play Store, Apple App Store, Amazon Appstore"
User Ratings,The average rating given by users on app stores.,Float [1],"Google Play Store, Apple App Store, Amazon Appstore"
User Ratings,The average rating given by users on app stores.,Float [1],"Google Play Store, Apple App Store, Amazon Appstore"
