App,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
Replika,1,1,0,1,0,1,0,0,0,0
MyFitnessPal,0,0,1,0,1,0,1,1,1,1
Headspace,5,5,2,5,2,5,2,2,2,2
Wysa,3,3,0,3,0,3,0,0,0,0
Sleep Cycle,0,0,3,0,3,0,3,3,3,3
Youper,2,2,10,2,10,2,9,7,9,8
MyLife Meditation,4,4,0,4,0,4,0,0,0,0
Calm,6,6,4,6,4,6,4,4,4,4
Fitbit,0,0,5,0,5,0,5,0,5,0
Flo,0,0,0,0,0,0,0,5,10,5
Strava,0,0,6,0,7,0,6,0,7,0
Noom,0,0,7,0,6,0,7,10,6,0
Clue,0,0,0,0,0,0,0,0,0,7
Fabulous,7,7,0,7,0,7,0,8,0,9
Lifesum,0,0,9,0,9,0,8,6,8,6
WW (Weight Watchers),0,0,8,0,0,0,0,0,0,0
BetterHelp,0,0,0,8,0,0,0,0,0,0
Nike Training Club,0,0,0,0,8,0,0,0,0,0
Balance,0,0,0,0,0,8,0,0,0,0
Happify,8,8,0,0,0,0,0,9,0,10
Moodpath,9,9,0,0,0,0,0,0,0,0
Talkspace,0,0,0,9,0,0,0,0,0,0
Shine,0,0,0,0,0,9,0,0,0,0
Sanvello,10,0,0,0,0,10,0,0,0,0
Ada Health,0,0,0,0,0,0,10,0,0,0
What's Up,0,10,0,0,0,0,0,0,0,0
7 Cups,0,0,0,10,0,0,0,0,0,0
