criterion,feature,app,n_models,models,best_median_rank
Customization Options,Play games,The Sims Mobile,5,"anthropic, gptoss20b, mistral, openai, qwen3_8b",2.0
Security and Privacy,Keeping up with friends,Threema,5,"anthropic, gemini, gptoss20b, mistral_open, qwen3_8b",2.0
Security and Privacy,Broadcast messages to multiple contacts,Wire,4,"anthropic, gptoss20b, mistral_open, openai",2.0
Security and Privacy,Collaborate with others,Wire,4,"anthropic, gemini, gptoss20b, openai",2.0
Popularity and Market Reach,Build photo collage,Instagram,3,"anthropic, gemini, openai",1.0
Popularity and Market Reach,List items for sale,Amazon,3,"anthropic, gptoss20b, openai",1.0
Popularity and Market Reach,Photo effects,Snapchat,3,"anthropic, gemini, mistral",1.0
Popularity and Market Reach,Photo effects,TikTok,3,"anthropic, gemini, openai",2.0
Security and Privacy,Collaborate with others,ProtonMail,3,"anthropic, deepseekr1_8b, qwen3_8b",2.0
Security and Privacy,Send files,ProtonMail,3,"anthropic, deepseekr1_8b, qwen3_8b",2.0
Security and Privacy,Send files,Wire,3,"anthropic, gemma3_4b, gptoss20b",3.0
Security and Privacy,Write notes,Cryptee,3,"gemini, mistral, openai",3.0
Accessibility Features,Collaborate with others,Google Docs,2,"anthropic, mistral",1.0
Accessibility Features,Photo effects,Apple Photos,2,"anthropic, gemini",1.0
Accessibility Features,Photo effects,Google Photos,2,"anthropic, gemini",1.0
Customer Support,Broadcast messages to multiple contacts,WhatsApp Business,2,"anthropic, llama31_8b",1.0
Customization Options,Access to movies,Kodi,2,"anthropic, gemini",1.0
Customization Options,Watch streams,Kodi,2,"gemini, gptoss20b",1.0
Customization Options,Watch streams,VLC for Mobile,2,"gemini, gptoss20b",1.0
Feature Breadth and Richness,Play games,Google Play Games,2,"anthropic, qwen3_8b",1.0
Popularity and Market Reach,Build photo collage,PicsArt Photo & Video Editor,2,"anthropic, mistral",1.0
Popularity and Market Reach,Photo effects,Instagram,2,"gemini, mistral",1.0
Regional and Geographical Availability,Build photo collage,PicsArt Photo & Video Editor,2,"anthropic, mistral",1.0
Regional and Geographical Availability,List items for sale,Amazon,2,"gptoss20b, openai",1.0
Regular Updates and Maintenance,Build photo collage,PicsArt Photo & Video Editor,2,"anthropic, mistral",1.0
Regular Updates and Maintenance,Keeping up with friends,WhatsApp Messenger,2,"anthropic, openai",1.0
Security and Privacy,Collaborate with others,Signal,2,"anthropic, gptoss20b",1.0
